dataset,feature_set,regressor,target_transform,pool_holdout_split_mode,method,trial,budget_total,mape
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,1,8,24.837089965189776
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,1,16,28.652982397572192
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,1,24,27.80811962338077
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,1,32,27.061358262655045
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,1,40,17.553156410753786
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,1,48,18.93156982793198
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,1,56,17.8293667744358
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,1,64,16.992089998949858
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,1,72,17.562487843572644
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,1,80,18.30703462191456
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,1,88,18.27957588811664
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,1,96,18.57584655897252
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,1,99,18.30505490472204
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,2,8,18.49956108964722
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,2,16,16.842132129169283
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,2,24,15.352830993750713
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,2,32,12.934189192817444
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,2,40,11.843629804422864
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,2,48,11.350655312791924
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,2,56,12.159629674676404
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,2,64,12.45160864375421
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,2,72,13.8858652694466
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,2,80,14.881404826525166
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,2,88,12.709387272992082
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,2,96,13.167812158297023
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,2,99,13.152763409969005
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,3,8,20.85460708559213
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,3,16,25.192698541755792
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,3,24,14.134785543877944
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,3,32,16.938806043501465
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,3,40,14.611402364750688
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,3,48,13.88143034775507
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,3,56,13.898625224603723
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,3,64,13.652855589124934
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,3,72,13.019200709433306
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,3,80,12.225680601661416
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,3,88,11.549106140001443
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,3,96,12.216134704900677
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,3,99,12.17251784832251
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,4,8,15.125006152805852
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,4,16,12.14475185200034
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,4,24,11.714331606891111
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,4,32,12.151517765124638
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,4,40,12.77497216372296
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,4,48,14.511870276099517
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,4,56,8.46961972518449
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,4,64,8.43824119718251
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,4,72,8.897961301065168
