dataset,feature_set,model,full_pool_mape,n_trials,model_family
Formation,set1_dQn_m,AE_ENet,11.037039784791869,10,Primary ML
Formation,set1_dQn_m,GPR,11.515682914609474,10,Primary ML
Formation,set1_dQn_m,RF,12.710883590997925,10,Primary ML
Formation,set2_early_soh,AE_ENet,18.092596450318034,10,Primary ML
Formation,set2_early_soh,GPR,17.779129519476403,10,Primary ML
Formation,set2_early_soh,RF,18.81997792468222,10,Primary ML
Formation,set3_features,AE_ENet,10.11368111135415,10,Primary ML
Formation,set3_features,GPR,10.461216258966992,10,Primary ML
Formation,set3_features,RF,11.00921709286869,10,Primary ML
Formation,set4_features_metadata,AE_ENet,10.200991848569393,10,Primary ML
Formation,set4_features_metadata,GPR,10.67304741481944,10,Primary ML
Formation,set4_features_metadata,RF,11.085843271960808,10,Primary ML
Formation,set5_features_metadata_corr95,AE_ENet,10.225403436099693,10,Primary ML
Formation,set5_features_metadata_corr95,GPR,10.649610471393625,10,Primary ML
Formation,set5_features_metadata_corr95,RF,11.05422444894442,10,Primary ML
HUST,set1_dQn_m,AE_ENet,13.49414426690991,10,Primary ML
HUST,set1_dQn_m,GPR,12.151167011492507,10,Primary ML
HUST,set1_dQn_m,RF,12.034498554495794,10,Primary ML
HUST,set2_early_soh,AE_ENet,20.37205212347421,10,Primary ML
HUST,set2_early_soh,GPR,16.06040987145275,10,Primary ML
HUST,set2_early_soh,RF,18.879868794588145,10,Primary ML
HUST,set3_features,AE_ENet,10.175843590644003,10,Primary ML
HUST,set3_features,GPR,12.16093866285502,10,Primary ML
HUST,set3_features,RF,13.197311298310018,10,Primary ML
HUST,set4_features_metadata,AE_ENet,8.498162189229749,10,Primary ML
HUST,set4_features_metadata,GPR,10.717004912455199,10,Primary ML
HUST,set4_features_metadata,RF,12.84180823117669,10,Primary ML
HUST,set5_features_metadata_corr95,AE_ENet,8.636688019699571,10,Primary ML
HUST,set5_features_metadata_corr95,GPR,10.837841064955311,10,Primary ML
HUST,set5_features_metadata_corr95,RF,13.63961124236086,10,Primary ML
ISU_ILCC,set1_dQn_m,AE_ENet,21.50491841756928,10,Primary ML
ISU_ILCC,set1_dQn_m,GPR,20.288831970606324,10,Primary ML
ISU_ILCC,set1_dQn_m,RF,26.869496332566094,10,Primary ML
ISU_ILCC,set2_early_soh,AE_ENet,32.0215926082154,10,Primary ML
ISU_ILCC,set2_early_soh,GPR,32.763972090503515,10,Primary ML
ISU_ILCC,set2_early_soh,RF,36.961032649449365,10,Primary ML
ISU_ILCC,set3_features,AE_ENet,22.34483832725342,10,Primary ML
ISU_ILCC,set3_features,GPR,22.356385362728975,10,Primary ML
ISU_ILCC,set3_features,RF,26.87047586071763,10,Primary ML
ISU_ILCC,set4_features_metadata,AE_ENet,17.83199498867223,10,Primary ML
ISU_ILCC,set4_features_metadata,GPR,19.589901056064672,10,Primary ML
ISU_ILCC,set4_features_metadata,RF,22.828756423747723,10,Primary ML
ISU_ILCC,set5_features_metadata_corr95,AE_ENet,17.83199498867223,10,Primary ML
ISU_ILCC,set5_features_metadata_corr95,GPR,19.589901056064672,10,Primary ML
ISU_ILCC,set5_features_metadata_corr95,RF,22.828756423747723,10,Primary ML
KIT,set1_dQn_m,AE_ENet,21.67678614171496,10,Primary ML
KIT,set1_dQn_m,GPR,27.588297817784657,10,Primary ML
KIT,set1_dQn_m,RF,22.687377074142375,10,Primary ML
KIT,set2_early_soh,AE_ENet,29.390241380660246,10,Primary ML
KIT,set2_early_soh,GPR,34.03231794187376,10,Primary ML
KIT,set2_early_soh,RF,38.339693738293526,10,Primary ML
KIT,set3_features,AE_ENet,19.18059449044498,10,Primary ML
KIT,set3_features,GPR,18.045201324213064,10,Primary ML
