dataset,feature_set,model,trial,full_pool_mape,model_family
Formation,set1_dQn_m,AE_ENet,1,11.717356640597606,Primary ML
Formation,set1_dQn_m,AE_ENet,2,13.714662681273182,Primary ML
Formation,set1_dQn_m,AE_ENet,3,8.776134209183688,Primary ML
Formation,set1_dQn_m,AE_ENet,4,8.81066614350785,Primary ML
Formation,set1_dQn_m,AE_ENet,5,11.433412231381425,Primary ML
Formation,set1_dQn_m,AE_ENet,6,8.635645998368906,Primary ML
Formation,set1_dQn_m,AE_ENet,7,12.546131582446426,Primary ML
Formation,set1_dQn_m,AE_ENet,8,12.163785357177138,Primary ML
Formation,set1_dQn_m,AE_ENet,9,10.205310907485812,Primary ML
Formation,set1_dQn_m,AE_ENet,10,12.367292096496657,Primary ML
Formation,set1_dQn_m,GPR,1,11.321053304348238,Primary ML
Formation,set1_dQn_m,GPR,2,16.353292406139282,Primary ML
Formation,set1_dQn_m,GPR,3,9.04284033337168,Primary ML
Formation,set1_dQn_m,GPR,4,8.511825181180587,Primary ML
Formation,set1_dQn_m,GPR,5,12.187412795735424,Primary ML
Formation,set1_dQn_m,GPR,6,9.761083564034374,Primary ML
Formation,set1_dQn_m,GPR,7,13.33341664425458,Primary ML
Formation,set1_dQn_m,GPR,8,11.633905929604643,Primary ML
Formation,set1_dQn_m,GPR,9,9.90137715744138,Primary ML
Formation,set1_dQn_m,GPR,10,13.110621829984556,Primary ML
Formation,set1_dQn_m,RF,1,10.124466910966762,Primary ML
Formation,set1_dQn_m,RF,2,17.940459356505684,Primary ML
Formation,set1_dQn_m,RF,3,10.983578952724162,Primary ML
Formation,set1_dQn_m,RF,4,13.717426559650344,Primary ML
Formation,set1_dQn_m,RF,5,14.254623278131104,Primary ML
Formation,set1_dQn_m,RF,6,11.72098728343768,Primary ML
Formation,set1_dQn_m,RF,7,14.23465989528312,Primary ML
Formation,set1_dQn_m,RF,8,12.685895039854245,Primary ML
Formation,set1_dQn_m,RF,9,9.079257630669147,Primary ML
Formation,set1_dQn_m,RF,10,12.367481002757009,Primary ML
Formation,set2_early_soh,AE_ENet,1,15.147120031197897,Primary ML
Formation,set2_early_soh,AE_ENet,2,22.592893401773093,Primary ML
Formation,set2_early_soh,AE_ENet,3,14.063112522330508,Primary ML
Formation,set2_early_soh,AE_ENet,4,17.99893311613367,Primary ML
Formation,set2_early_soh,AE_ENet,5,16.488589538687435,Primary ML
