dataset,feature_set,model,attainable_gain_pp,n_trials
Formation,set1_dQn_m,AE_ENet,6.996903502267388,10
Formation,set1_dQn_m,GPR,7.600067345308673,10
Formation,set1_dQn_m,RF,4.082151439954275,10
Formation,set2_early_soh,AE_ENet,2.1485022529391906,10
Formation,set2_early_soh,GPR,2.8364880872693115,10
Formation,set2_early_soh,RF,2.3454978795964645,10
Formation,set3_features,AE_ENet,7.081737852372487,10
Formation,set3_features,GPR,5.863528081323878,10
Formation,set3_features,RF,4.7239918466137025,10
Formation,set4_features_metadata,AE_ENet,5.004280845990233,10
Formation,set4_features_metadata,GPR,6.821592586630071,10
Formation,set4_features_metadata,RF,5.173496493949936,10
Formation,set5_features_metadata_corr95,AE_ENet,5.341381770075634,10
Formation,set5_features_metadata_corr95,GPR,7.105315204559238,10
Formation,set5_features_metadata_corr95,RF,5.356385779949372,10
HUST,set1_dQn_m,AE_ENet,11.567112324037033,10
HUST,set1_dQn_m,GPR,8.008546815091787,10
HUST,set1_dQn_m,RF,8.615624121772074,10
HUST,set2_early_soh,AE_ENet,10.366237300243961,10
HUST,set2_early_soh,GPR,5.0893780840184855,10
HUST,set2_early_soh,RF,2.9269059564592594,10
HUST,set3_features,AE_ENet,10.66901920676626,10
HUST,set3_features,GPR,6.447430405716405,10
HUST,set3_features,RF,6.747906401698512,10
HUST,set4_features_metadata,AE_ENet,15.838159498634448,10
HUST,set4_features_metadata,GPR,8.082862975147707,10
HUST,set4_features_metadata,RF,7.118801413150403,10
HUST,set5_features_metadata_corr95,AE_ENet,15.750230401527853,10
HUST,set5_features_metadata_corr95,GPR,7.772367257454259,10
HUST,set5_features_metadata_corr95,RF,6.430347148724536,10
ISU_ILCC,set1_dQn_m,AE_ENet,13.5591468789119,10
ISU_ILCC,set1_dQn_m,GPR,21.21745471343021,10
ISU_ILCC,set1_dQn_m,RF,18.39077177114103,10
ISU_ILCC,set2_early_soh,AE_ENet,9.455930702673754,10
ISU_ILCC,set2_early_soh,GPR,16.26997361966199,10
ISU_ILCC,set2_early_soh,RF,9.989132450399483,10
ISU_ILCC,set3_features,AE_ENet,9.605499141135368,10
ISU_ILCC,set3_features,GPR,15.943727639156842,10
ISU_ILCC,set3_features,RF,11.575674058986593,10
ISU_ILCC,set4_features_metadata,AE_ENet,16.902659064459545,10
ISU_ILCC,set4_features_metadata,GPR,13.84081738757819,10
ISU_ILCC,set4_features_metadata,RF,12.38479750792346,10
ISU_ILCC,set5_features_metadata_corr95,AE_ENet,16.902659064459545,10
