dataset,feature_set,model,initialisation_gain_pp,n_trials
Formation,set1_dQn_m,AE_ENet,2.88381769739287,10
Formation,set1_dQn_m,GPR,3.205932273386922,10
Formation,set1_dQn_m,RF,-1.4831843610905837,10
Formation,set2_early_soh,AE_ENet,-1.4934681282662634,10
Formation,set2_early_soh,GPR,-2.0772630046465115,10
Formation,set2_early_soh,RF,0.8442188021978406,10
Formation,set3_features,AE_ENet,-1.201875714334566,10
Formation,set3_features,GPR,0.7907599008589019,10
Formation,set3_features,RF,-0.5146126803292217,10
Formation,set4_features_metadata,AE_ENet,-3.333481796526878,10
Formation,set4_features_metadata,GPR,2.1220609052404225,10
Formation,set4_features_metadata,RF,-0.4741092514932996,10
Formation,set5_features_metadata_corr95,AE_ENet,-5.52079028013569,10
Formation,set5_features_metadata_corr95,GPR,2.4418797358365216,10
Formation,set5_features_metadata_corr95,RF,-0.42164549641400606,10
HUST,set1_dQn_m,AE_ENet,4.088809950240467,10
HUST,set1_dQn_m,GPR,-1.8130505039526774,10
HUST,set1_dQn_m,RF,0.7077483918495442,10
HUST,set2_early_soh,AE_ENet,10.024414105883807,10
HUST,set2_early_soh,GPR,2.8931088681744748,10
HUST,set2_early_soh,RF,3.4260585709317306,10
HUST,set3_features,AE_ENet,0.6340314054960972,10
HUST,set3_features,GPR,-1.0721327279598998,10
HUST,set3_features,RF,2.6310928493528634,10
HUST,set4_features_metadata,AE_ENet,5.731935387131647,10
HUST,set4_features_metadata,GPR,-1.0611012011044267,10
HUST,set4_features_metadata,RF,3.4913913454516043,10
HUST,set5_features_metadata_corr95,AE_ENet,8.148484688825988,10
HUST,set5_features_metadata_corr95,GPR,-1.3082430402966752,10
HUST,set5_features_metadata_corr95,RF,2.3124849860312175,10
ISU_ILCC,set1_dQn_m,AE_ENet,7.033428090523718,10
ISU_ILCC,set1_dQn_m,GPR,6.542036303515294,10
ISU_ILCC,set1_dQn_m,RF,7.582678777624137,10
ISU_ILCC,set2_early_soh,AE_ENet,4.652580308454299,10
ISU_ILCC,set2_early_soh,GPR,6.877302092090263,10
ISU_ILCC,set2_early_soh,RF,3.70480682464925,10
ISU_ILCC,set3_features,AE_ENet,-0.5015671346976479,10
ISU_ILCC,set3_features,GPR,9.525756353447136,10
ISU_ILCC,set3_features,RF,0.8075672609369366,10
ISU_ILCC,set4_features_metadata,AE_ENet,9.892165539569527,10
ISU_ILCC,set4_features_metadata,GPR,6.730450184135047,10
ISU_ILCC,set4_features_metadata,RF,1.5193483615401355,10
ISU_ILCC,set5_features_metadata_corr95,AE_ENet,9.892165539569527,10
ISU_ILCC,set5_features_metadata_corr95,GPR,6.730450184135047,10
ISU_ILCC,set5_features_metadata_corr95,RF,1.5193483615401355,10
KIT,set1_dQn_m,AE_ENet,-7.496884379327692,10
KIT,set1_dQn_m,GPR,-16.08526531656019,10
KIT,set1_dQn_m,RF,-3.938751316007412,10
KIT,set2_early_soh,AE_ENet,2.294096583717098,10
KIT,set2_early_soh,GPR,-3.4388368981116555,10
KIT,set2_early_soh,RF,1.678185996796437,10
KIT,set3_features,AE_ENet,4.472453456577413,10
KIT,set3_features,GPR,-2.2436210751429435,10
KIT,set3_features,RF,-0.21415719323208826,10
KIT,set4_features_metadata,AE_ENet,-7.702693583174819,10
KIT,set4_features_metadata,GPR,-1.6050906543664154,10
KIT,set4_features_metadata,RF,2.838659357918128,10
KIT,set5_features_metadata_corr95,AE_ENet,-9.678550745378617,10
KIT,set5_features_metadata_corr95,GPR,-4.502475846172303,10
KIT,set5_features_metadata_corr95,RF,1.603302975640413,10
LSD_Primary,set1_dQn_m,AE_ENet,19.81947736720769,10
LSD_Primary,set1_dQn_m,GPR,28.364393422377464,10
LSD_Primary,set1_dQn_m,RF,27.205613556506144,10
LSD_Primary,set2_early_soh,AE_ENet,23.074292479492215,10
LSD_Primary,set2_early_soh,GPR,38.51874929711176,10
LSD_Primary,set2_early_soh,RF,33.864276381830294,10
LSD_Primary,set3_features,AE_ENet,86.28054822864866,10
LSD_Primary,set3_features,GPR,32.69225785542685,10
LSD_Primary,set3_features,RF,29.45043401812965,10
LSD_Primary,set4_features_metadata,AE_ENet,91.47759437348529,10
LSD_Primary,set4_features_metadata,GPR,45.66400245361952,10
LSD_Primary,set4_features_metadata,RF,21.240859807959573,10
LSD_Primary,set5_features_metadata_corr95,AE_ENet,90.67778785012874,10
LSD_Primary,set5_features_metadata_corr95,GPR,41.77032245760165,10
LSD_Primary,set5_features_metadata_corr95,RF,21.428716797444345,10
LSD_Second,set1_dQn_m,AE_ENet,1.288930960930326,10
LSD_Second,set1_dQn_m,GPR,-0.937427393061047,10
LSD_Second,set1_dQn_m,RF,6.978854731336263,10
LSD_Second,set2_early_soh,AE_ENet,-11.127620305365053,10
LSD_Second,set2_early_soh,GPR,-7.934237263954797,10
LSD_Second,set2_early_soh,RF,-3.561496942606612,10
LSD_Second,set3_features,AE_ENet,3.6151074349571486,10
LSD_Second,set3_features,GPR,-3.3669596754985833,10
LSD_Second,set3_features,RF,10.906769561262589,10
LSD_Second,set4_features_metadata,AE_ENet,0.885520158631951,10
LSD_Second,set4_features_metadata,GPR,3.5459794097296724,10
LSD_Second,set4_features_metadata,RF,20.771994814136043,10
LSD_Second,set5_features_metadata_corr95,AE_ENet,-0.6755511691162784,10
LSD_Second,set5_features_metadata_corr95,GPR,5.179383450883167,10
LSD_Second,set5_features_metadata_corr95,RF,23.21913254780894,10
MIT,set1_dQn_m,AE_ENet,4.52221421902586,10
MIT,set1_dQn_m,GPR,1.2863628101950446,10
MIT,set1_dQn_m,RF,1.8543833140333383,10
MIT,set2_early_soh,AE_ENet,-1.2973271015808059,10
MIT,set2_early_soh,GPR,0.4513360153696759,10
MIT,set2_early_soh,RF,-3.847700645820919,10
MIT,set3_features,AE_ENet,3.5018944169938613,10
MIT,set3_features,GPR,0.7727105321934532,10
MIT,set3_features,RF,-1.4375135800999719,10
MIT,set4_features_metadata,AE_ENet,2.351985652337801,10
MIT,set4_features_metadata,GPR,2.578113245479913,10
MIT,set4_features_metadata,RF,1.6553876508125416,10
MIT,set5_features_metadata_corr95,AE_ENet,-0.06035996778223396,10
MIT,set5_features_metadata_corr95,GPR,1.7880093282051241,10
MIT,set5_features_metadata_corr95,RF,2.413407268884062,10
TRI_Tesla,set1_dQn_m,AE_ENet,-3.9302318964503042,10
TRI_Tesla,set1_dQn_m,GPR,1.8188493434936936,10
TRI_Tesla,set1_dQn_m,RF,3.43579126332682,10
TRI_Tesla,set2_early_soh,AE_ENet,-8.950420165569259,10
TRI_Tesla,set2_early_soh,GPR,14.179341778942739,10
TRI_Tesla,set2_early_soh,RF,4.080965817664248,10
TRI_Tesla,set3_features,AE_ENet,2.1122575857141146,10
TRI_Tesla,set3_features,GPR,6.987648550776379,10
TRI_Tesla,set3_features,RF,4.18009871533761,10
TRI_Tesla,set4_features_metadata,AE_ENet,6.428767729127228,10
TRI_Tesla,set4_features_metadata,GPR,14.605400243021643,10
TRI_Tesla,set4_features_metadata,RF,4.883698208907019,10
TRI_Tesla,set5_features_metadata_corr95,AE_ENet,0.23466502925288743,10
TRI_Tesla,set5_features_metadata_corr95,GPR,8.64524879985552,10
TRI_Tesla,set5_features_metadata_corr95,RF,0.09241794925038818,10
