panel,stem,source_data_stem,row,x_mm,y_mm,width_mm,height_mm,x_px,y_px,width_px,height_px,response,definition
a,fig_full_pool_primary_vs_deep_violin,fig_full_pool_primary_vs_deep_violin,1,8.0,7.0,95.5,72.25,189,165,2256,1707,Full-pool prediction performance,Seven-model full-pool MAPE violin distributions
b,fig_attainable_gain_sign_fraction_vertical,fig_attainable_gain_sign_fraction_vertical,1,106.5,7.0,46.25,72.25,2516,165,1093,1707,Attainable full-pool gain,Positive and non-positive attainable full-pool gain fractions
c,fig_initialisation_gain_sign_fraction_vertical,fig_initialisation_gain_sign_fraction_vertical,1,155.75,7.0,46.25,72.25,3679,165,1093,1707,Initialisation gain,Positive and non-positive initialisation gain fractions
d,fig_full_pool_performance_ring_heatmap,fig_full_pool_performance_ring_heatmap,2,8.0,83.25,62.6666666667,72.25,189,1967,1480,1707,Full-pool prediction performance,Dataset-feature-model full-pool MAPE ring heatmap
e,fig_attainable_full_pool_gain_ring_heatmap,fig_attainable_full_pool_gain_ring_heatmap,2,73.6666666667,83.25,62.6666666667,72.25,1740,1967,1480,1707,Attainable full-pool gain,Dataset-feature-model attainable full-pool gain ring heatmap
f,fig_initialisation_gain_ring_heatmap,fig_initialisation_gain_ring_heatmap,2,139.3333333334,83.25,62.6666666667,72.25,3291,1967,1480,1707,Initialisation gain,Dataset-feature-model initialisation gain ring heatmap
g,fig_full_pool_term_contribution,fig_full_pool_term_contribution,3,8.0,159.5,62.6666666667,72.25,189,3768,1480,1707,Full-pool prediction performance,Three-factor full-pool MAPE term-level contributions
h,fig_attainable_full_pool_gain_term_contribution,fig_attainable_full_pool_gain_term_contribution,3,73.6666666667,159.5,62.6666666667,72.25,1740,3768,1480,1707,Attainable full-pool gain,Three-factor attainable full-pool gain term-level contributions
i,fig_initial_prediction_performance_term_contribution,fig_initial_prediction_performance_term_contribution,3,139.3333333334,159.5,62.6666666667,72.25,3291,3768,1480,1707,Initialisation prediction performance,Four-factor initial prediction MAPE term-level contributions
j,fig_full_pool_grouped_contribution,fig_full_pool_grouped_contribution,4,8.0,235.75,62.6666666667,72.25,189,5569,1480,1707,Full-pool prediction performance,Three-factor full-pool MAPE grouped factor contributions
k,fig_attainable_full_pool_gain_grouped_contribution,fig_attainable_full_pool_gain_grouped_contribution,4,73.6666666667,235.75,62.6666666667,72.25,1740,5569,1480,1707,Attainable full-pool gain,Three-factor attainable full-pool gain grouped factor contributions
l,fig_initial_prediction_performance_grouped_contribution,fig_initial_prediction_performance_grouped_contribution,4,139.3333333334,235.75,62.6666666667,72.25,3291,5569,1480,1707,Initialisation prediction performance,Four-factor initial prediction MAPE grouped factor contributions
