term,raw_term,ss,df,F,p_value,variance_contribution_pct,full_model_r2
Dataset,"C(dataset, Sum)",36062.833439218746,7.0,138.7636042287844,5.847673572219826e-120,37.70756533028702,0.7725151407536776
Feature,"C(feature_set, Sum)",172.5613198123567,4.0,1.1619761873118994,0.32655826013022726,0.18043139209435213,0.7725151407536776
Model,"C(model, Sum)",737.6257735745413,2.0,9.93390158319548,5.7185302111227496e-05,0.7712669636245885,0.7725151407536776
Acquisition,"C(acquisition, Sum)",5352.136967068407,5.0,28.831748453142694,3.5017464657094565e-26,5.59623399205507,0.7725151407536776
Dataset x Feature,"C(dataset, Sum):C(feature_set, Sum)",1715.8348600806376,28.0,1.6505596395210707,0.019806164681359373,1.7940896183745942,0.7725151407536776
Dataset x Model,"C(dataset, Sum):C(model, Sum)",6453.182101565003,14.0,12.415369533665244,1.28288327024763e-25,6.747494926961921,0.7725151407536776
Dataset x Acquisition,"C(dataset, Sum):C(acquisition, Sum)",20451.666302524838,35.0,15.73890156693247,3.068805134766237e-63,21.384413526892065,0.7725151407536776
Feature x Model,"C(feature_set, Sum):C(model, Sum)",1987.7957606812968,8.0,6.692610318647473,2.1070396562483213e-08,2.078453947205469,0.7725151407536776
Feature x Acquisition,"C(feature_set, Sum):C(acquisition, Sum)",387.2860969740508,20.0,0.5215736908481728,0.9582220772433394,0.40494920699379355,0.7725151407536776
Model x Acquisition,"C(model, Sum):C(acquisition, Sum)",561.0281389165593,10.0,1.5111181081411114,0.1312951002650909,0.5866151708789246,0.7725151407536776
Residual,Residual,21756.24047080794,586.0,,,22.74848592463225,0.7725151407536776
