dataset,factor,factor_code,grouped_contribution_pp,full_model_r2,reduced_model_r2,n_configurations
MIT,Feature,B,49.885831864710205,0.8669728267031535,0.3681145080560514,90
MIT,Model,C,27.745812335681,0.8669728267031535,0.5895147033463435,90
MIT,Acquisition,D,52.82370080605935,0.8669728267031535,0.33873581864255997,90
ISU_ILCC,Feature,B,23.945524216901283,0.9199887599582817,0.6805335177892688,90
ISU_ILCC,Model,C,36.36917485536132,0.9199887599582817,0.5562970114046685,90
ISU_ILCC,Acquisition,D,73.30934568117623,0.9199887599582817,0.18689530314651936,90
LSD_Primary,Feature,B,27.610126026814186,0.918199414226988,0.6420981539588462,90
LSD_Primary,Model,C,40.36208953747473,0.918199414226988,0.5145785188522407,90
LSD_Primary,Acquisition,D,55.699637735984,0.918199414226988,0.36120303686714805,90
LSD_Second,Feature,B,62.52137132505401,0.835694138487798,0.21048042523725796,90
LSD_Second,Model,C,28.846245546519068,0.835694138487798,0.5472316830226074,90
LSD_Second,Acquisition,D,25.468966166294905,0.835694138487798,0.581004476824849,90
HUST,Feature,B,46.36977944090974,0.8525548094287119,0.38885701501961445,90
HUST,Model,C,37.02077382047477,0.8525548094287119,0.48234707122396414,90
HUST,Acquisition,D,51.00690780420186,0.8525548094287119,0.34248573138669325,90
KIT,Feature,B,41.82270874038297,0.6898536808035378,0.27162659339970807,90
KIT,Model,C,34.95623859823445,0.6898536808035378,0.34029129482119336,90
KIT,Acquisition,D,38.426129695185175,0.6898536808035378,0.3055923838516861,90
Formation,Feature,B,45.16976787127619,0.7117720519424353,0.2600743732296734,90
Formation,Model,C,26.335741183221796,0.7117720519424353,0.44841464011021737,90
Formation,Acquisition,D,48.988689945059235,0.7117720519424353,0.22188515249184293,90
TRI_Tesla,Feature,B,28.894088849803623,0.876161250261377,0.5872203617633408,90
TRI_Tesla,Model,C,41.22963552782299,0.876161250261377,0.4638648949831471,90
TRI_Tesla,Acquisition,D,66.94283746977632,0.876161250261377,0.20673287556361375,90
