dataset,feature_set,model,acquisition,mean_alc_mape,median_alc_mape,sd_trial_alc_mape,mean_alc_area_mape_fraction,n_trials,min_checkpoints,max_checkpoints
Formation,set1_dQn_m,AE_ENet,coverage,12.539357198010666,11.924079674052049,1.8018329698420281,5.153160492333151,10,6,6
Formation,set1_dQn_m,AE_ENet,diversity_iterative,11.414666288495594,11.757088333118878,2.340543342905134,4.690958748696819,10,6,6
Formation,set1_dQn_m,AE_ENet,diversity_oneshot,12.2140021251907,12.118510848597975,2.2316857401639982,5.019452928160562,10,6,6
Formation,set1_dQn_m,AE_ENet,exploitation,12.779545039776973,12.334948076259005,2.651158817636685,5.251867824565879,10,6,6
Formation,set1_dQn_m,AE_ENet,exploration,12.854177031876187,12.11705960022557,2.0245479317259094,5.2825385062504875,10,6,6
Formation,set1_dQn_m,AE_ENet,hybrid,12.776626574426784,12.098895611164924,2.052377311165125,5.250668455243884,10,6,6
Formation,set1_dQn_m,AE_ENet,random_selection,12.110287343903007,11.482595619920193,1.6834283960050531,4.976830415302605,10,6,6
Formation,set1_dQn_m,GPR,coverage,13.3341629371822,12.551367504429587,2.4749767724181884,5.479792987883096,10,6,6
Formation,set1_dQn_m,GPR,diversity_iterative,12.713003880246472,12.650510725103299,2.9086572436458153,5.224522142567043,10,6,6
Formation,set1_dQn_m,GPR,diversity_oneshot,13.101628240661274,12.85966807307333,2.764612024801644,5.3842307838334,10,6,6
Formation,set1_dQn_m,GPR,exploitation,14.151835424882876,13.043650847269696,2.742250522109714,5.815822777349127,10,6,6
Formation,set1_dQn_m,GPR,exploration,12.921309806031053,12.13367222830943,2.6088312864658216,5.310127317547009,10,6,6
Formation,set1_dQn_m,GPR,hybrid,13.574464668386687,13.305733835602851,2.326164126101079,5.578547123994528,10,6,6
Formation,set1_dQn_m,GPR,random_selection,13.803256934152213,12.716106146766863,2.6924178246860127,5.6725713428022795,10,6,6
Formation,set1_dQn_m,RF,coverage,14.318651159046084,13.424792549274246,2.7141029457024106,5.884377188649075,10,6,6
Formation,set1_dQn_m,RF,diversity_iterative,14.00045467312153,13.425048295035811,2.3214457058000835,5.753611509501999,10,6,6
Formation,set1_dQn_m,RF,diversity_oneshot,14.32864582916803,13.718306370530454,2.703342816418235,5.888484587329327,10,6,6
Formation,set1_dQn_m,RF,exploitation,14.818682286314399,15.089352223488417,3.672844345066978,6.089869432731944,10,6,6
Formation,set1_dQn_m,RF,exploration,15.001345939741388,14.57709256949693,3.549565157782013,6.164936687564953,10,6,6
Formation,set1_dQn_m,RF,hybrid,14.312624206974107,13.49954378262324,2.724846893943582,5.881900359030455,10,6,6
Formation,set1_dQn_m,RF,random_selection,14.73183961120478,14.12987566201626,2.959891549271841,6.05418066213895,10,6,6
Formation,set2_early_soh,AE_ENet,coverage,19.20127183276721,18.215557229122126,4.027335455558011,7.890933629904332,10,6,6
Formation,set2_early_soh,AE_ENet,diversity_iterative,20.906315927318236,20.629476321243708,3.504002239767311,8.591636682459548,10,6,6
Formation,set2_early_soh,AE_ENet,diversity_oneshot,19.24090689263118,19.46372472286766,2.9752010707978886,7.907222010670347,10,6,6
