dataset,feature_set,model,trial,acquisition,labelled_n,pool_n,holdout_mape,budget_total,labelled_fraction,b0_labelled_n,early_alc_eligible
Formation,set1_dQn_m,GPR,1,random_selection,12,146,14.319053802295048,12,0.0821917808219178,12,False
Formation,set1_dQn_m,GPR,1,random_selection,24,146,12.369994286526342,24,0.1643835616438356,12,True
Formation,set1_dQn_m,GPR,1,random_selection,36,146,13.265035797357513,36,0.2465753424657534,12,True
Formation,set1_dQn_m,GPR,1,random_selection,48,146,14.25558261180785,48,0.3287671232876712,12,True
Formation,set1_dQn_m,GPR,1,random_selection,60,146,10.45504730665384,60,0.410958904109589,12,True
Formation,set1_dQn_m,GPR,1,random_selection,72,146,10.885124692694928,72,0.4931506849315068,12,True
Formation,set1_dQn_m,GPR,1,random_selection,84,146,11.119626846017052,84,0.5753424657534246,12,True
Formation,set1_dQn_m,GPR,1,random_selection,96,146,11.744855442640343,96,0.6575342465753424,12,False
Formation,set1_dQn_m,GPR,1,random_selection,108,146,11.395931113101856,108,0.7397260273972602,12,False
Formation,set1_dQn_m,GPR,1,random_selection,120,146,11.956169487633773,120,0.821917808219178,12,False
Formation,set1_dQn_m,GPR,1,random_selection,132,146,11.73060055175098,132,0.9041095890410958,12,False
Formation,set1_dQn_m,GPR,1,random_selection,144,146,11.309724162920814,144,0.9863013698630136,12,False
Formation,set1_dQn_m,GPR,1,random_selection,146,146,11.321053304348238,146,1.0,12,False
Formation,set1_dQn_m,GPR,1,diversity_oneshot,12,146,13.119413620649167,12,0.0821917808219178,12,False
Formation,set1_dQn_m,GPR,1,diversity_oneshot,24,146,15.206310737117548,24,0.1643835616438356,12,True
Formation,set1_dQn_m,GPR,1,diversity_oneshot,36,146,13.617657847879256,36,0.2465753424657534,12,True
Formation,set1_dQn_m,GPR,1,diversity_oneshot,48,146,13.197940765673652,48,0.3287671232876712,12,True
Formation,set1_dQn_m,GPR,1,diversity_oneshot,60,146,13.519016374333065,60,0.410958904109589,12,True
Formation,set1_dQn_m,GPR,1,diversity_oneshot,72,146,11.855056575883568,72,0.4931506849315068,12,True
Formation,set1_dQn_m,GPR,1,diversity_oneshot,84,146,12.367653563816976,84,0.5753424657534246,12,True
Formation,set1_dQn_m,GPR,1,diversity_oneshot,96,146,12.393395312690371,96,0.6575342465753424,12,False
Formation,set1_dQn_m,GPR,1,diversity_oneshot,108,146,12.393327013306068,108,0.7397260273972602,12,False
Formation,set1_dQn_m,GPR,1,diversity_oneshot,120,146,12.614767047866838,120,0.821917808219178,12,False
Formation,set1_dQn_m,GPR,1,diversity_oneshot,132,146,11.347414805366135,132,0.9041095890410958,12,False
Formation,set1_dQn_m,GPR,1,diversity_oneshot,144,146,11.338230561184714,144,0.9863013698630136,12,False
Formation,set1_dQn_m,GPR,1,diversity_oneshot,146,146,11.321053304348238,146,1.0,12,False
Formation,set1_dQn_m,GPR,1,diversity_iterative,12,146,13.119413620649167,12,0.0821917808219178,12,False
Formation,set1_dQn_m,GPR,1,diversity_iterative,24,146,13.13541709018741,24,0.1643835616438356,12,True
Formation,set1_dQn_m,GPR,1,diversity_iterative,36,146,14.58442314295984,36,0.2465753424657534,12,True
Formation,set1_dQn_m,GPR,1,diversity_iterative,48,146,12.735243824739484,48,0.3287671232876712,12,True
Formation,set1_dQn_m,GPR,1,diversity_iterative,60,146,12.069321462148409,60,0.410958904109589,12,True
Formation,set1_dQn_m,GPR,1,diversity_iterative,72,146,12.132969719803,72,0.4931506849315068,12,True
Formation,set1_dQn_m,GPR,1,diversity_iterative,84,146,11.983434078097636,84,0.5753424657534246,12,True
