source_block,dataset,model,feature_set,mean_full_pool_mape,n_feature_trials,best_acquisition,best_median_relative_improvement_pct,best_representative_trial,best_representative_relative_improvement_pct,worst_acquisition,worst_median_relative_improvement_pct,worst_representative_trial,worst_representative_relative_improvement_pct,random_acquisition,panel_a_labelled_n,panel_a_labelled_fraction,best_operational_labelled_n,worst_operational_labelled_n,embedding_reference_trial,panel_c_endpoint_labelled_fraction,index,source_index,cell_name,lifetime,split_assignment,embedding_x,embedding_y,best_selected,worst_selected,best_trial_pool,worst_trial_pool,selection_membership,role,acquisition,nominal_fraction,plot_fraction,mape_mean,mape_min,mape_max,mape_sd,n_trials,labelled_n,achieved_fraction,mape_sem,signed_error_grid,density_mean,density_sem,bandwidth,n_holdout_samples,trial,pool_n,fraction_distance,panel,panel_c_endpoint_fraction
configuration,Formation,GPR,set3_features,10.461216258966992,10.0,diversity_oneshot,3.846644569142371,3.0,4.253794981714145,exploitation,-8.628168910395603,6.0,-8.873195571125756,random_selection,48.0,0.3287671232876712,48.0,48.0,3.0,0.5753424657534246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
configuration,Formation,RF,set3_features,11.00921709286869,10.0,exploitation,0.03489049128767824,6.0,1.0647556601802353,coverage,-20.163029310850114,3.0,-19.74051482978849,random_selection,48.0,0.3287671232876712,48.0,48.0,6.0,0.5753424657534246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
configuration,Formation,AE_ENet,set3_features,10.11368111135415,10.0,diversity_oneshot,3.039577544620303,5.0,3.910009152932645,coverage,-3.234144110310083,2.0,-4.293435147492351,random_selection,48.0,0.3287671232876712,48.0,48.0,5.0,0.5753424657534246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,0.0,0.0,Nova_Formation-100,488.0,pool,0.23035421358804986,0.04203557668572571,False,True,True,True,worst_only,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,1.0,1.0,Nova_Formation-101,555.0,pool,0.19433108130072144,0.05921680579957122,True,True,True,True,overlap,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,2.0,2.0,Nova_Formation-102,555.0,pool,0.18622329577111907,0.06542149597663702,False,True,True,True,worst_only,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,3.0,3.0,Nova_Formation-103,489.0,pool,0.28453813153803265,0.01446003990141457,True,True,True,True,overlap,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,4.0,4.0,Nova_Formation-104,611.0,pool,0.2609428887367325,0.00892847729643778,False,True,True,True,worst_only,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,5.0,5.0,Nova_Formation-105,532.0,pool,0.2997662083358506,0.012749827603290619,False,True,True,True,worst_only,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,6.0,6.0,Nova_Formation-106,845.0,pool,0.038389323704826346,0.9263102266443172,True,False,True,False,best_only,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,7.0,7.0,Nova_Formation-107,868.0,pool,0.004221422293835668,0.8737674993703128,False,False,True,False,background,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,8.0,8.0,Nova_Formation-108,832.0,pool,0.03610728062330773,0.9365470938781186,False,False,True,False,background,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,9.0,9.0,Nova_Formation-109,640.0,pool,0.18485046827708562,0.6260454418001091,True,True,True,True,overlap,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,10.0,10.0,Nova_Formation-110,660.0,pool,0.17591262754715575,0.6515544388332208,False,True,True,True,worst_only,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,11.0,11.0,Nova_Formation-112,547.0,pool,0.16022914961287857,0.6182370513672779,False,False,True,False,background,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,12.0,12.0,Nova_Formation-113,561.0,pool,0.14799107831421263,0.6174200373722908,False,False,True,False,background,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,13.0,13.0,Nova_Formation-114,585.0,pool,0.07133046664367626,0.6466554805454265,True,False,True,False,best_only,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,14.0,14.0,Nova_Formation-115,507.0,pool,0.1626452452871208,0.5457612171330068,True,True,True,True,overlap,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,15.0,15.0,Nova_Formation-116,481.0,pool,0.06787724131764135,0.5141725448223455,False,True,True,True,worst_only,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,16.0,16.0,Nova_Formation-117,597.0,pool,0.10574143719019542,0.530751253599279,True,True,True,True,overlap,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,17.0,17.0,Nova_Formation-118,586.0,pool,0.05241752959464359,0.4982367182528799,True,False,True,False,best_only,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,18.0,18.0,Nova_Formation-119,659.0,pool,0.021067595935826466,0.49836729042167505,False,True,True,True,worst_only,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,19.0,19.0,Nova_Formation-120,724.0,pool,0.05867190862970227,0.5405250815662664,False,False,True,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,20.0,20.0,Nova_Formation-121,562.0,holdout,0.046250803769354004,0.5251926716942907,False,False,False,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,21.0,21.0,Nova_Formation-122,667.0,holdout,0.021309898900309727,0.5317330221071377,False,False,False,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,22.0,22.0,Nova_Formation-123,554.0,holdout,0.05292191285976826,0.5270486698525896,False,True,False,True,worst_only,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,23.0,23.0,Nova_Formation-124,665.0,pool,0.12675259927419677,0.6327968515819831,False,False,True,False,background,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,24.0,24.0,Nova_Formation-125,614.0,pool,0.10054958291519267,0.6520875340831046,True,False,True,False,best_only,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,25.0,25.0,Nova_Formation-126,652.0,pool,0.08789835616240868,0.6398019130688889,False,False,True,False,background,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,26.0,26.0,Nova_Formation-127,888.0,pool,0.3182384412572055,0.7932448059770159,True,False,True,True,best_only,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,27.0,27.0,Nova_Formation-128,808.0,pool,0.468907663563574,0.6442335059084088,False,False,True,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,28.0,28.0,Nova_Formation-129,825.0,pool,0.44804215822373805,0.6465577578738866,True,False,True,True,best_only,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,29.0,29.0,Nova_Formation-130,837.0,pool,0.30647886598934165,0.7784212321818875,True,False,True,True,best_only,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,30.0,30.0,Nova_Formation-131,707.0,pool,0.2749704762602494,0.7997338832163619,False,False,True,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,31.0,31.0,Nova_Formation-134,785.0,pool,0.246118443067847,0.621785345409289,False,False,True,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,32.0,32.0,Nova_Formation-135,564.0,pool,0.560176055828094,0.5217493461359852,False,True,True,True,worst_only,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,33.0,33.0,Nova_Formation-136,685.0,pool,0.3515662053127077,0.7549175099043434,False,False,True,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,34.0,34.0,Nova_Formation-137,702.0,pool,0.44212398176834417,0.6578017697521725,False,False,True,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,35.0,35.0,Nova_Formation-138,726.0,pool,0.4642752123556864,0.6545074167975479,False,False,True,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,36.0,36.0,Nova_Formation-139,660.0,pool,0.5081446261005681,0.3190271555499484,True,True,True,True,overlap,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,37.0,37.0,Nova_Formation-140,630.0,pool,0.36353964266185823,0.6139015290747144,False,True,True,True,worst_only,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,38.0,38.0,Nova_Formation-141,631.0,pool,0.5216284603877193,0.31650402530251726,False,False,True,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,Formation,GPR,set3_features,,,diversity_oneshot,,3.0,,exploitation,,6.0,,,48.0,0.3287671232876712,,,,,39.0,39.0,Nova_Formation-142,937.0,pool,0.008190330135446157,0.18498594279209377,True,False,True,True,best_only,,,,,,,,,,,,,,,,,,,,,,
