source_block,dataset,model,feature_set,mean_full_pool_mape,n_feature_trials,best_acquisition,best_median_relative_improvement_pct,best_representative_trial,best_representative_relative_improvement_pct,worst_acquisition,worst_median_relative_improvement_pct,worst_representative_trial,worst_representative_relative_improvement_pct,random_acquisition,panel_a_labelled_n,panel_a_labelled_fraction,best_operational_labelled_n,worst_operational_labelled_n,embedding_reference_trial,panel_c_endpoint_labelled_fraction,index,source_index,cell_name,lifetime,split_assignment,embedding_x,embedding_y,best_selected,worst_selected,best_trial_pool,worst_trial_pool,selection_membership,role,acquisition,nominal_fraction,plot_fraction,mape_mean,mape_min,mape_max,mape_sd,n_trials,labelled_n,achieved_fraction,mape_sem,signed_error_grid,density_mean,density_sem,bandwidth,n_holdout_samples,trial,pool_n,fraction_distance,panel,panel_c_endpoint_fraction
configuration,HUST,GPR,set4_features_metadata,10.717004912455199,10.0,exploration,8.663961874545286,5.0,6.984554351306707,coverage,-0.1602132744553777,2.0,-6.922706915756879,random_selection,18.0,0.2903225806451613,18.0,18.0,5.0,0.5806451612903226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
configuration,HUST,RF,set1_dQn_m,12.034498554495794,10.0,diversity_oneshot,2.5886213800342492,4.0,0.6322660454855957,diversity_iterative,-15.911149033694697,2.0,-13.823978915977197,random_selection,18.0,0.2903225806451613,18.0,18.0,4.0,0.5806451612903226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
configuration,HUST,AE_ENet,set4_features_metadata,8.498162189229749,10.0,diversity_iterative,20.802904292060653,7.0,21.005313922052853,exploitation,-33.2758200532771,7.0,-30.3327073522433,random_selection,18.0,0.2903225806451613,18.0,18.0,7.0,0.5806451612903226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
embedding,HUST,GPR,set4_features_metadata,,,exploration,,5.0,,coverage,,2.0,,,18.0,0.2903225806451613,,,,,0.0,0.0,1-1,1504.0,pool,0.3725864007363964,0.8209401436615932,True,False,True,True,best_only,,,,,,,,,,,,,,,,,,,,,,
embedding,HUST,GPR,set4_features_metadata,,,exploration,,5.0,,coverage,,2.0,,,18.0,0.2903225806451613,,,,,1.0,1.0,1-2,2678.0,pool,0.59243901915493,0.5963120983380261,True,False,True,False,best_only,,,,,,,,,,,,,,,,,,,,,,
embedding,HUST,GPR,set4_features_metadata,,,exploration,,5.0,,coverage,,2.0,,,18.0,0.2903225806451613,,,,,2.0,2.0,1-3,1858.0,pool,0.8295764275122015,0.015335870821219426,False,True,True,True,worst_only,,,,,,,,,,,,,,,,,,,,,,
embedding,HUST,GPR,set4_features_metadata,,,exploration,,5.0,,coverage,,2.0,,,18.0,0.2903225806451613,,,,,3.0,3.0,1-4,1500.0,pool,0.7959833018192614,0.0,True,False,True,True,best_only,,,,,,,,,,,,,,,,,,,,,,
embedding,HUST,GPR,set4_features_metadata,,,exploration,,5.0,,coverage,,2.0,,,18.0,0.2903225806451613,,,,,4.0,4.0,1-5,1971.0,pool,0.9386054953764915,0.0012971883041013527,True,False,True,True,best_only,,,,,,,,,,,,,,,,,,,,,,
embedding,HUST,GPR,set4_features_metadata,,,exploration,,5.0,,coverage,,2.0,,,18.0,0.2903225806451613,,,,,5.0,5.0,1-6,1143.0,pool,0.0,0.6497651433750612,True,True,True,True,overlap,,,,,,,,,,,,,,,,,,,,,,
embedding,HUST,GPR,set4_features_metadata,,,exploration,,5.0,,coverage,,2.0,,,18.0,0.2903225806451613,,,,,6.0,6.0,1-7,1678.0,pool,0.2912605445696858,0.8003387023094519,True,False,True,False,best_only,,,,,,,,,,,,,,,,,,,,,,
embedding,HUST,GPR,set4_features_metadata,,,exploration,,5.0,,coverage,,2.0,,,18.0,0.2903225806451613,,,,,7.0,7.0,1-8,2285.0,holdout,0.5996345879317674,0.8143156217470456,False,False,False,False,background,,,,,,,,,,,,,,,,,,,,,,
