source_block,dataset,model,feature_set,mean_full_pool_mape,n_feature_trials,best_acquisition,best_median_relative_improvement_pct,best_representative_trial,best_representative_relative_improvement_pct,worst_acquisition,worst_median_relative_improvement_pct,worst_representative_trial,worst_representative_relative_improvement_pct,random_acquisition,panel_a_labelled_n,panel_a_labelled_fraction,best_operational_labelled_n,worst_operational_labelled_n,embedding_reference_trial,panel_c_endpoint_labelled_fraction,index,source_index,cell_name,lifetime,split_assignment,embedding_x,embedding_y,best_selected,worst_selected,best_trial_pool,worst_trial_pool,selection_membership,role,acquisition,nominal_fraction,plot_fraction,mape_mean,mape_min,mape_max,mape_sd,n_trials,labelled_n,achieved_fraction,mape_sem,signed_error_grid,density_mean,density_sem,bandwidth,n_holdout_samples,trial,pool_n,fraction_distance,panel,panel_c_endpoint_fraction
configuration,LSD_Second,GPR,set1_dQn_m,16.94247688540025,10.0,diversity_oneshot,10.091400803970252,8.0,11.521078832506529,diversity_iterative,-17.855567131877827,1.0,-20.244129786772,random_selection,18.0,0.3103448275862069,18.0,18.0,8.0,0.5172413793103449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
configuration,LSD_Second,RF,set1_dQn_m,21.77252820331139,10.0,diversity_iterative,13.791091350016053,7.0,6.066050758041901,exploitation,-10.230754013001976,8.0,-19.128779017285662,random_selection,18.0,0.3103448275862069,18.0,18.0,7.0,0.5172413793103449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
configuration,LSD_Second,AE_ENet,set3_features,20.593125164853284,10.0,hybrid,-5.108147651017654,2.0,-8.576532199919546,diversity_iterative,-26.707363966541827,1.0,-28.92971045884461,random_selection,18.0,0.3103448275862069,18.0,18.0,2.0,0.5172413793103449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
embedding,LSD_Second,GPR,set1_dQn_m,,,diversity_oneshot,,8.0,,diversity_iterative,,1.0,,,18.0,0.3103448275862069,,,,,0.0,0.0,cell1,367.0,pool,0.5264164371788016,0.887484489574213,False,True,True,True,worst_only,,,,,,,,,,,,,,,,,,,,,,
embedding,LSD_Second,GPR,set1_dQn_m,,,diversity_oneshot,,8.0,,diversity_iterative,,1.0,,,18.0,0.3103448275862069,,,,,1.0,1.0,cell2,312.0,pool,0.43874179713193756,0.8348543484182669,False,False,True,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,LSD_Second,GPR,set1_dQn_m,,,diversity_oneshot,,8.0,,diversity_iterative,,1.0,,,18.0,0.3103448275862069,,,,,2.0,2.0,cell3,308.0,pool,0.577723454703466,0.9313986831222024,False,True,True,True,worst_only,,,,,,,,,,,,,,,,,,,,,,
embedding,LSD_Second,GPR,set1_dQn_m,,,diversity_oneshot,,8.0,,diversity_iterative,,1.0,,,18.0,0.3103448275862069,,,,,3.0,3.0,cell4,261.0,pool,0.5059961755460951,0.930819326371554,True,False,True,True,best_only,,,,,,,,,,,,,,,,,,,,,,
embedding,LSD_Second,GPR,set1_dQn_m,,,diversity_oneshot,,8.0,,diversity_iterative,,1.0,,,18.0,0.3103448275862069,,,,,4.0,4.0,cell5,251.0,pool,0.23558783091236082,0.9123672136416517,False,False,True,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,LSD_Second,GPR,set1_dQn_m,,,diversity_oneshot,,8.0,,diversity_iterative,,1.0,,,18.0,0.3103448275862069,,,,,5.0,5.0,cell6,210.0,pool,0.3576648182615727,0.9977337064219096,True,False,True,True,best_only,,,,,,,,,,,,,,,,,,,,,,
embedding,LSD_Second,GPR,set1_dQn_m,,,diversity_oneshot,,8.0,,diversity_iterative,,1.0,,,18.0,0.3103448275862069,,,,,6.0,6.0,cell7,205.0,pool,0.12769573026663728,0.8889355543697798,False,False,True,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,LSD_Second,GPR,set1_dQn_m,,,diversity_oneshot,,8.0,,diversity_iterative,,1.0,,,18.0,0.3103448275862069,,,,,7.0,7.0,cell10,236.0,pool,1.0,0.34807220178218673,True,False,True,True,best_only,,,,,,,,,,,,,,,,,,,,,,
embedding,LSD_Second,GPR,set1_dQn_m,,,diversity_oneshot,,8.0,,diversity_iterative,,1.0,,,18.0,0.3103448275862069,,,,,8.0,8.0,cell11,282.0,pool,0.6045750404443583,0.1298455327885247,True,False,True,True,best_only,,,,,,,,,,,,,,,,,,,,,,
embedding,LSD_Second,GPR,set1_dQn_m,,,diversity_oneshot,,8.0,,diversity_iterative,,1.0,,,18.0,0.3103448275862069,,,,,9.0,9.0,cell12,350.0,pool,0.6156423926130876,0.369758057450584,False,False,True,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,LSD_Second,GPR,set1_dQn_m,,,diversity_oneshot,,8.0,,diversity_iterative,,1.0,,,18.0,0.3103448275862069,,,,,10.0,10.0,cell13,381.0,pool,0.48275045687775087,0.38096317531556334,True,False,True,True,best_only,,,,,,,,,,,,,,,,,,,,,,
embedding,LSD_Second,GPR,set1_dQn_m,,,diversity_oneshot,,8.0,,diversity_iterative,,1.0,,,18.0,0.3103448275862069,,,,,11.0,11.0,cell14,460.0,pool,0.8239712900029603,0.03855195399601531,True,True,True,True,overlap,,,,,,,,,,,,,,,,,,,,,,
embedding,LSD_Second,GPR,set1_dQn_m,,,diversity_oneshot,,8.0,,diversity_iterative,,1.0,,,18.0,0.3103448275862069,,,,,12.0,12.0,cell15,471.0,pool,0.9181239630336464,0.07658620833055099,False,False,True,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,LSD_Second,GPR,set1_dQn_m,,,diversity_oneshot,,8.0,,diversity_iterative,,1.0,,,18.0,0.3103448275862069,,,,,13.0,13.0,cell16,285.0,pool,0.5958843209289171,0.15925909184368153,False,False,True,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,LSD_Second,GPR,set1_dQn_m,,,diversity_oneshot,,8.0,,diversity_iterative,,1.0,,,18.0,0.3103448275862069,,,,,14.0,14.0,cell17,319.0,holdout,0.5564647200001751,0.9909459013222139,False,True,False,True,worst_only,,,,,,,,,,,,,,,,,,,,,,
embedding,LSD_Second,GPR,set1_dQn_m,,,diversity_oneshot,,8.0,,diversity_iterative,,1.0,,,18.0,0.3103448275862069,,,,,15.0,15.0,cell18,340.0,holdout,0.5963664848885725,0.9819785709127022,False,True,False,True,worst_only,,,,,,,,,,,,,,,,,,,,,,
embedding,LSD_Second,GPR,set1_dQn_m,,,diversity_oneshot,,8.0,,diversity_iterative,,1.0,,,18.0,0.3103448275862069,,,,,16.0,16.0,cell19,388.0,holdout,0.5333616159733165,0.9218991407928248,False,False,False,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,LSD_Second,GPR,set1_dQn_m,,,diversity_oneshot,,8.0,,diversity_iterative,,1.0,,,18.0,0.3103448275862069,,,,,17.0,17.0,cell20,368.0,holdout,0.5571079261417615,1.0,False,False,False,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,LSD_Second,GPR,set1_dQn_m,,,diversity_oneshot,,8.0,,diversity_iterative,,1.0,,,18.0,0.3103448275862069,,,,,18.0,18.0,cell21,1595.0,holdout,0.03390811472080204,0.6202515036592314,False,True,False,True,worst_only,,,,,,,,,,,,,,,,,,,,,,
embedding,LSD_Second,GPR,set1_dQn_m,,,diversity_oneshot,,8.0,,diversity_iterative,,1.0,,,18.0,0.3103448275862069,,,,,19.0,19.0,cell22,1945.0,holdout,0.0,0.6296524883278107,False,False,False,True,background,,,,,,,,,,,,,,,,,,,,,,
