source_block,dataset,model,feature_set,mean_full_pool_mape,n_feature_trials,best_acquisition,best_median_relative_improvement_pct,best_representative_trial,best_representative_relative_improvement_pct,worst_acquisition,worst_median_relative_improvement_pct,worst_representative_trial,worst_representative_relative_improvement_pct,random_acquisition,panel_a_labelled_n,panel_a_labelled_fraction,best_operational_labelled_n,worst_operational_labelled_n,embedding_reference_trial,panel_c_endpoint_labelled_fraction,index,source_index,cell_name,lifetime,split_assignment,embedding_x,embedding_y,best_selected,worst_selected,best_trial_pool,worst_trial_pool,selection_membership,role,acquisition,nominal_fraction,plot_fraction,mape_mean,mape_min,mape_max,mape_sd,n_trials,labelled_n,achieved_fraction,mape_sem,signed_error_grid,density_mean,density_sem,bandwidth,n_holdout_samples,trial,pool_n,fraction_distance,panel,panel_c_endpoint_fraction
configuration,MIT,GPR,set1_dQn_m,10.034042193790876,10.0,hybrid,7.241073209218531,2.0,7.720428976493597,diversity_iterative,-3.943873937517711,3.0,-4.324943169865195,random_selection,32.0,0.32323232323232326,32.0,32.0,2.0,0.5656565656565656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
configuration,MIT,RF,set5_features_metadata_corr95,12.58663497285823,10.0,hybrid,2.843408480708532,7.0,2.7097398096437586,exploitation,-5.621380891979138,1.0,-2.893439064497344,random_selection,32.0,0.32323232323232326,32.0,32.0,7.0,0.5656565656565656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
configuration,MIT,AE_ENet,set3_features,12.462220842422266,10.0,hybrid,8.323166810833305,2.0,7.260162640953993,diversity_oneshot,2.3863898336550164,1.0,1.3041002777333266,random_selection,32.0,0.32323232323232326,32.0,32.0,2.0,0.5656565656565656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
embedding,MIT,GPR,set1_dQn_m,,,hybrid,,2.0,,diversity_iterative,,3.0,,,32.0,0.32323232323232326,,,,,0.0,0.0,cell1,1850.0,pool,0.9583628211819992,0.8960015668297026,False,False,True,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,MIT,GPR,set1_dQn_m,,,hybrid,,2.0,,diversity_iterative,,3.0,,,32.0,0.32323232323232326,,,,,1.0,1.0,cell2,2158.0,pool,1.0,0.7580303630632315,False,False,True,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,MIT,GPR,set1_dQn_m,,,hybrid,,2.0,,diversity_iterative,,3.0,,,32.0,0.32323232323232326,,,,,2.0,2.0,cell3,2235.0,pool,0.9939238839975439,0.7908373170859435,True,True,True,True,overlap,,,,,,,,,,,,,,,,,,,,,,
embedding,MIT,GPR,set1_dQn_m,,,hybrid,,2.0,,diversity_iterative,,3.0,,,32.0,0.32323232323232326,,,,,3.0,3.0,cell4,1432.0,pool,0.9257165048043016,0.8220201284245404,False,False,True,False,background,,,,,,,,,,,,,,,,,,,,,,
embedding,MIT,GPR,set1_dQn_m,,,hybrid,,2.0,,diversity_iterative,,3.0,,,32.0,0.32323232323232326,,,,,4.0,4.0,cell5,1707.0,pool,0.9784696401662925,0.6932767279005374,False,False,True,False,background,,,,,,,,,,,,,,,,,,,,,,
embedding,MIT,GPR,set1_dQn_m,,,hybrid,,2.0,,diversity_iterative,,3.0,,,32.0,0.32323232323232326,,,,,5.0,5.0,cell6,1072.0,pool,0.6874927332711708,0.8087257859476646,False,False,True,False,background,,,,,,,,,,,,,,,,,,,,,,
embedding,MIT,GPR,set1_dQn_m,,,hybrid,,2.0,,diversity_iterative,,3.0,,,32.0,0.32323232323232326,,,,,6.0,6.0,cell7,634.0,pool,0.4921980630625224,0.5823689539785499,False,False,True,False,background,,,,,,,,,,,,,,,,,,,,,,
embedding,MIT,GPR,set1_dQn_m,,,hybrid,,2.0,,diversity_iterative,,3.0,,,32.0,0.32323232323232326,,,,,7.0,7.0,cell8,868.0,pool,0.4797912955370215,0.6084557893945017,False,False,True,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,MIT,GPR,set1_dQn_m,,,hybrid,,2.0,,diversity_iterative,,3.0,,,32.0,0.32323232323232326,,,,,8.0,8.0,cell9,1052.0,pool,0.6384376260339474,0.8950164726760695,False,False,True,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,MIT,GPR,set1_dQn_m,,,hybrid,,2.0,,diversity_iterative,,3.0,,,32.0,0.32323232323232326,,,,,9.0,9.0,cell10,786.0,pool,0.8931972117773975,0.6944487426074258,True,False,True,True,best_only,,,,,,,,,,,,,,,,,,,,,,
embedding,MIT,GPR,set1_dQn_m,,,hybrid,,2.0,,diversity_iterative,,3.0,,,32.0,0.32323232323232326,,,,,10.0,10.0,cell11,878.0,pool,0.6570206744087728,0.884479856858907,False,False,True,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,MIT,GPR,set1_dQn_m,,,hybrid,,2.0,,diversity_iterative,,3.0,,,32.0,0.32323232323232326,,,,,11.0,11.0,cell12,717.0,pool,0.6750019056532642,0.8901878377379574,False,False,True,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,MIT,GPR,set1_dQn_m,,,hybrid,,2.0,,diversity_iterative,,3.0,,,32.0,0.32323232323232326,,,,,12.0,12.0,cell13,860.0,pool,0.7464798431491813,0.5923862737841636,False,False,True,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,MIT,GPR,set1_dQn_m,,,hybrid,,2.0,,diversity_iterative,,3.0,,,32.0,0.32323232323232326,,,,,13.0,13.0,cell14,855.0,pool,0.6752517330674355,0.7537332895399984,False,False,True,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,MIT,GPR,set1_dQn_m,,,hybrid,,2.0,,diversity_iterative,,3.0,,,32.0,0.32323232323232326,,,,,14.0,14.0,cell15,689.0,holdout,0.36480731629654567,0.400583613256013,False,True,False,True,worst_only,,,,,,,,,,,,,,,,,,,,,,
