source_block,dataset,model,feature_set,mean_full_pool_mape,n_feature_trials,best_acquisition,best_median_relative_improvement_pct,best_representative_trial,best_representative_relative_improvement_pct,worst_acquisition,worst_median_relative_improvement_pct,worst_representative_trial,worst_representative_relative_improvement_pct,random_acquisition,panel_a_labelled_n,panel_a_labelled_fraction,best_operational_labelled_n,worst_operational_labelled_n,embedding_reference_trial,panel_c_endpoint_labelled_fraction,index,source_index,cell_name,lifetime,split_assignment,embedding_x,embedding_y,best_selected,worst_selected,best_trial_pool,worst_trial_pool,selection_membership,role,acquisition,nominal_fraction,plot_fraction,mape_mean,mape_min,mape_max,mape_sd,n_trials,labelled_n,achieved_fraction,mape_sem,signed_error_grid,density_mean,density_sem,bandwidth,n_holdout_samples,trial,pool_n,fraction_distance,panel,panel_c_endpoint_fraction
configuration,TRI_Tesla,GPR,set5_features_metadata_corr95,16.029108741540597,10.0,hybrid,19.906539436046685,1.0,20.323768812434786,exploitation,-17.602176983324696,6.0,-18.39759191333665,random_selection,32.0,0.29906542056074764,32.0,32.0,1.0,0.5981308411214953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
configuration,TRI_Tesla,RF,set5_features_metadata_corr95,22.864917901497165,10.0,hybrid,-1.294973666358239,1.0,1.1233826775936258,diversity_iterative,-13.601809310026944,1.0,-14.21462435307634,random_selection,32.0,0.29906542056074764,32.0,32.0,1.0,0.5981308411214953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
configuration,TRI_Tesla,AE_ENet,set4_features_metadata,17.599826799148858,10.0,hybrid,14.238633201638379,9.0,13.846473455406588,exploitation,-12.475193693875648,1.0,-12.444129961407494,random_selection,32.0,0.29906542056074764,32.0,32.0,9.0,0.5981308411214953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
embedding,TRI_Tesla,GPR,set5_features_metadata_corr95,,,hybrid,,1.0,,exploitation,,6.0,,,32.0,0.29906542056074764,,,,,0.0,0.0,PredictionDiagnostics_000124_000049,124.30375814493208,holdout,0.22224578893749122,0.9491979292259067,False,False,False,False,background,,,,,,,,,,,,,,,,,,,,,,
embedding,TRI_Tesla,GPR,set5_features_metadata_corr95,,,hybrid,,1.0,,exploitation,,6.0,,,32.0,0.29906542056074764,,,,,1.0,1.0,PredictionDiagnostics_000128_000046,70.97454575624354,holdout,0.09754399318596499,0.5745838020368931,False,True,False,True,worst_only,,,,,,,,,,,,,,,,,,,,,,
embedding,TRI_Tesla,GPR,set5_features_metadata_corr95,,,hybrid,,1.0,,exploitation,,6.0,,,32.0,0.29906542056074764,,,,,2.0,2.0,PredictionDiagnostics_000129_000045,79.01033427485832,pool,0.12385783927620092,0.6118178556433412,True,False,True,True,best_only,,,,,,,,,,,,,,,,,,,,,,
embedding,TRI_Tesla,GPR,set5_features_metadata_corr95,,,hybrid,,1.0,,exploitation,,6.0,,,32.0,0.29906542056074764,,,,,3.0,3.0,PredictionDiagnostics_000132_00004C,79.00757791486238,pool,0.015090319328196763,0.7681186749592585,True,False,True,True,best_only,,,,,,,,,,,,,,,,,,,,,,
embedding,TRI_Tesla,GPR,set5_features_metadata_corr95,,,hybrid,,1.0,,exploitation,,6.0,,,32.0,0.29906542056074764,,,,,4.0,4.0,PredictionDiagnostics_000133_00004D,89.20716207774916,holdout,0.014580348333184053,0.7644546406321927,False,False,False,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,TRI_Tesla,GPR,set5_features_metadata_corr95,,,hybrid,,1.0,,exploitation,,6.0,,,32.0,0.29906542056074764,,,,,5.0,5.0,PredictionDiagnostics_000136_00002D,200.39909927938004,pool,0.4876979320716674,0.9693952140010648,False,False,True,False,background,,,,,,,,,,,,,,,,,,,,,,
embedding,TRI_Tesla,GPR,set5_features_metadata_corr95,,,hybrid,,1.0,,exploitation,,6.0,,,32.0,0.29906542056074764,,,,,6.0,6.0,PredictionDiagnostics_000138_000039,171.0641123914457,pool,0.5108616721120367,0.9645019461948234,False,False,True,False,background,,,,,,,,,,,,,,,,,,,,,,
embedding,TRI_Tesla,GPR,set5_features_metadata_corr95,,,hybrid,,1.0,,exploitation,,6.0,,,32.0,0.29906542056074764,,,,,7.0,7.0,PredictionDiagnostics_000140_000033,80.25681631745991,pool,0.04752950336110286,0.5231449556065139,False,False,True,False,background,,,,,,,,,,,,,,,,,,,,,,
