dataset,acquisition,nfp_percent,pool_n,duration_unit,n_observations,n_trials,n_feature_model_combinations,required_full_life_tests_median,required_full_life_tests_q25,required_full_life_tests_q75,required_pool_fraction_pct_median,required_pool_fraction_pct_q25,required_pool_fraction_pct_q75,required_duration_median,required_duration_q25,required_duration_q75
MIT,random_selection,92,99,cycles,140,10,15,40.0,32.0,64.0,40.4040404040404,32.323232323232325,64.64646464646465,7758.0,5740.0,11762.75
MIT,random_selection,95,99,cycles,140,10,15,48.0,32.0,72.0,48.48484848484848,32.323232323232325,72.72727272727273,8187.5,5780.0,12430.5
MIT,random_selection,98,99,cycles,140,10,15,48.0,32.0,80.0,48.48484848484848,32.323232323232325,80.8080808080808,9417.0,6788.0,14316.0
MIT,diversity_oneshot,92,99,cycles,140,10,15,40.0,24.0,56.0,40.4040404040404,24.24242424242424,56.56565656565656,7383.5,4093.0,10274.25
MIT,diversity_oneshot,95,99,cycles,140,10,15,44.0,24.0,56.0,44.44444444444444,24.24242424242424,56.56565656565656,8290.0,4430.75,11629.0
MIT,diversity_oneshot,98,99,cycles,140,10,15,48.0,24.0,72.0,48.48484848484848,24.24242424242424,72.72727272727273,9202.0,4780.0,12445.0
MIT,diversity_iterative,92,99,cycles,140,10,15,40.0,24.0,66.0,40.4040404040404,24.24242424242424,66.66666666666667,8389.0,5550.75,13693.0
MIT,diversity_iterative,95,99,cycles,140,10,15,44.0,24.0,74.0,44.44444444444444,24.24242424242424,74.74747474747475,9276.5,5776.0,15080.0
MIT,diversity_iterative,98,99,cycles,140,10,15,56.0,32.0,82.0,56.56565656565656,32.323232323232325,82.82828282828282,10922.0,5849.0,16488.25
MIT,coverage,92,99,cycles,140,10,15,32.0,24.0,64.0,32.323232323232325,24.24242424242424,64.64646464646465,6317.0,4041.75,10494.0
MIT,coverage,95,99,cycles,140,10,15,40.0,24.0,64.0,40.4040404040404,24.24242424242424,64.64646464646465,7130.0,4325.0,11129.0
MIT,coverage,98,99,cycles,140,10,15,48.0,24.0,80.0,48.48484848484848,24.24242424242424,80.8080808080808,8630.5,4641.0,13200.0
MIT,exploration,92,99,cycles,140,10,15,40.0,24.0,72.0,40.4040404040404,24.24242424242424,72.72727272727273,6273.5,4139.75,12184.0
MIT,exploration,95,99,cycles,140,10,15,40.0,24.0,74.0,40.4040404040404,24.24242424242424,74.74747474747475,7488.5,4139.75,13056.0
MIT,exploration,98,99,cycles,140,10,15,52.0,24.0,88.0,52.52525252525252,24.24242424242424,88.88888888888889,9127.0,4641.0,14482.75
MIT,exploitation,92,99,cycles,140,10,15,48.0,32.0,66.0,48.48484848484848,32.323232323232325,66.66666666666667,8989.0,6135.75,12532.75
MIT,exploitation,95,99,cycles,140,10,15,48.0,32.0,80.0,48.48484848484848,32.323232323232325,80.8080808080808,9514.5,6178.75,13178.5
MIT,exploitation,98,99,cycles,140,10,15,56.0,32.0,88.0,56.56565656565656,32.323232323232325,88.88888888888889,9783.5,6278.25,13855.75
MIT,hybrid,92,99,cycles,140,10,15,32.0,24.0,48.0,32.323232323232325,24.24242424242424,48.48484848484848,5797.0,3897.25,9275.75
MIT,hybrid,95,99,cycles,140,10,15,36.0,24.0,56.0,36.36363636363636,24.24242424242424,56.56565656565656,6809.5,3933.0,10407.5
MIT,hybrid,98,99,cycles,140,10,15,44.0,24.0,64.0,44.44444444444444,24.24242424242424,64.64646464646465,8382.0,4839.0,11887.5
ISU_ILCC,random_selection,92,193,weeks,136,10,15,96.0,48.0,128.0,49.740932642487046,24.870466321243523,66.32124352331607,236.3255406746032,140.55651331018515,346.65636243386245
ISU_ILCC,random_selection,95,193,weeks,136,10,15,112.0,64.0,144.0,58.03108808290155,33.160621761658035,74.61139896373057,272.21614376653434,142.91074900793652,400.2389624669312
ISU_ILCC,random_selection,98,193,weeks,136,10,15,112.0,64.0,176.0,58.03108808290155,33.160621761658035,91.19170984455958,313.9580919312169,178.77925285218254,458.6588839285714
ISU_ILCC,diversity_oneshot,92,193,weeks,136,10,15,64.0,32.0,112.0,33.160621761658035,16.580310880829018,58.03108808290155,183.1480067791005,97.6294188161376,305.37641637731474
ISU_ILCC,diversity_oneshot,95,193,weeks,136,10,15,64.0,32.0,112.0,33.160621761658035,16.580310880829018,58.03108808290155,196.93630415013223,97.6294188161376,326.3291927083334
ISU_ILCC,diversity_oneshot,98,193,weeks,136,10,15,80.0,32.0,128.0,41.45077720207254,16.580310880829018,66.32124352331607,226.85871031746035,109.00685340195103,349.00791708002646
ISU_ILCC,diversity_iterative,92,193,weeks,136,10,15,88.0,48.0,160.0,45.59585492227979,24.870466321243523,82.90155440414507,246.0015881283069,137.27264963624333,433.0793217799272
ISU_ILCC,diversity_iterative,95,193,weeks,136,10,15,104.0,48.0,164.0,53.88601036269429,24.870466321243523,84.9740932642487,283.80594349371694,151.78781549685846,458.2574128844245
ISU_ILCC,diversity_iterative,98,193,weeks,136,10,15,112.0,48.0,192.0,58.03108808290155,24.870466321243523,99.48186528497408,326.7958407738096,155.24179491154098,493.6994122023809
ISU_ILCC,coverage,92,193,weeks,136,10,15,80.0,48.0,112.0,41.45077720207254,24.870466321243523,58.03108808290155,209.27676153273808,145.22817222635584,298.91302372685186
ISU_ILCC,coverage,95,193,weeks,136,10,15,80.0,48.0,128.0,41.45077720207254,24.870466321243523,66.32124352331607,230.869886739418,155.27132316468254,323.49795366236776
ISU_ILCC,coverage,98,193,weeks,136,10,15,96.0,64.0,128.0,49.740932642487046,33.160621761658035,66.32124352331607,262.5198648313492,166.027728587963,373.9676923156416
ISU_ILCC,exploration,92,193,weeks,136,10,15,80.0,64.0,128.0,41.45077720207254,33.160621761658035,66.32124352331607,235.4155133928572,155.5690910218254,329.2263414558532
ISU_ILCC,exploration,95,193,weeks,136,10,15,88.0,64.0,132.0,45.59585492227979,33.160621761658035,68.39378238341969,237.8124880125661,165.65510747354497,342.668000062004
ISU_ILCC,exploration,98,193,weeks,136,10,15,112.0,64.0,144.0,58.03108808290155,33.160621761658035,74.61139896373057,279.45977244543656,188.2614918154762,400.5547015542328
ISU_ILCC,exploitation,92,193,weeks,136,10,15,96.0,64.0,144.0,49.740932642487046,33.160621761658035,74.61139896373057,269.27724991732805,206.58434833829364,376.1020851934524
ISU_ILCC,exploitation,95,193,weeks,136,10,15,128.0,80.0,160.0,66.32124352331607,41.45077720207254,82.90155440414507,316.7173175016534,224.0949578373016,389.4937417328042
