dataset,acquisition,nfp_percent,trial,duration_unit,n_configurations,required_duration,required_pool_fraction_pct
MIT,random_selection,92,1,cycles,11,6818.0,40.4040404040404
MIT,random_selection,92,2,cycles,15,6788.0,32.323232323232325
MIT,random_selection,92,3,cycles,14,6802.5,40.4040404040404
MIT,random_selection,92,4,cycles,14,6254.0,40.4040404040404
MIT,random_selection,92,5,cycles,14,10197.0,48.48484848484848
MIT,random_selection,92,6,cycles,14,10143.5,52.52525252525252
MIT,random_selection,92,7,cycles,15,5039.0,32.323232323232325
MIT,random_selection,92,8,cycles,14,11110.5,60.60606060606061
MIT,random_selection,92,9,cycles,14,8845.0,44.44444444444444
MIT,random_selection,92,10,cycles,15,10451.0,56.56565656565656
MIT,random_selection,95,1,cycles,11,6818.0,40.4040404040404
MIT,random_selection,95,2,cycles,15,6788.0,32.323232323232325
MIT,random_selection,95,3,cycles,14,6802.5,40.4040404040404
MIT,random_selection,95,4,cycles,14,8104.0,48.48484848484848
MIT,random_selection,95,5,cycles,14,10631.0,52.52525252525252
MIT,random_selection,95,6,cycles,14,10666.5,56.56565656565657
MIT,random_selection,95,7,cycles,15,5039.0,32.323232323232325
MIT,random_selection,95,8,cycles,14,11110.5,60.60606060606061
MIT,random_selection,95,9,cycles,14,8845.0,44.44444444444444
MIT,random_selection,95,10,cycles,15,12301.0,64.64646464646465
MIT,random_selection,98,1,cycles,11,6818.0,40.4040404040404
MIT,random_selection,98,2,cycles,15,7803.0,40.4040404040404
MIT,random_selection,98,3,cycles,14,7340.5,44.44444444444444
MIT,random_selection,98,4,cycles,14,8104.0,48.48484848484848
MIT,random_selection,98,5,cycles,14,10631.0,52.52525252525252
MIT,random_selection,98,6,cycles,14,11784.0,60.60606060606061
MIT,random_selection,98,7,cycles,15,11189.0,64.64646464646465
MIT,random_selection,98,8,cycles,14,11110.5,60.60606060606061
MIT,random_selection,98,9,cycles,14,9561.0,48.48484848484848
MIT,random_selection,98,10,cycles,15,12301.0,64.64646464646465
MIT,diversity_oneshot,92,1,cycles,11,8863.0,40.4040404040404
MIT,diversity_oneshot,92,2,cycles,15,4069.0,24.24242424242424
MIT,diversity_oneshot,92,3,cycles,14,10072.5,56.56565656565656
MIT,diversity_oneshot,92,4,cycles,14,8744.5,48.48484848484848
MIT,diversity_oneshot,92,5,cycles,14,9425.5,52.52525252525252
MIT,diversity_oneshot,92,6,cycles,14,9290.0,48.48484848484848
MIT,diversity_oneshot,92,7,cycles,15,4883.0,24.24242424242424
MIT,diversity_oneshot,92,8,cycles,14,5742.5,32.323232323232325
MIT,diversity_oneshot,92,9,cycles,14,6647.0,40.4040404040404
MIT,diversity_oneshot,92,10,cycles,15,5193.0,32.323232323232325
MIT,diversity_oneshot,95,1,cycles,11,8863.0,40.4040404040404
MIT,diversity_oneshot,95,2,cycles,15,4069.0,24.24242424242424
MIT,diversity_oneshot,95,3,cycles,14,10072.5,56.56565656565656
MIT,diversity_oneshot,95,4,cycles,14,9865.5,52.52525252525252
MIT,diversity_oneshot,95,5,cycles,14,10660.0,56.56565656565656
MIT,diversity_oneshot,95,6,cycles,14,9290.0,48.48484848484848
MIT,diversity_oneshot,95,7,cycles,15,5880.0,32.323232323232325
MIT,diversity_oneshot,95,8,cycles,14,11629.0,56.56565656565656
MIT,diversity_oneshot,95,9,cycles,14,6647.0,40.4040404040404
MIT,diversity_oneshot,95,10,cycles,15,9620.0,48.48484848484848
MIT,diversity_oneshot,98,1,cycles,11,9114.0,48.48484848484848
MIT,diversity_oneshot,98,2,cycles,15,4806.0,24.24242424242424
MIT,diversity_oneshot,98,3,cycles,14,10072.5,56.56565656565656
MIT,diversity_oneshot,98,4,cycles,14,10221.5,56.56565656565656
MIT,diversity_oneshot,98,5,cycles,14,10660.0,56.56565656565656
MIT,diversity_oneshot,98,6,cycles,14,9290.0,48.48484848484848
MIT,diversity_oneshot,98,7,cycles,15,10585.0,64.64646464646465
MIT,diversity_oneshot,98,8,cycles,14,11666.0,56.56565656565656
MIT,diversity_oneshot,98,9,cycles,14,6647.0,40.4040404040404
MIT,diversity_oneshot,98,10,cycles,15,9620.0,56.56565656565656
MIT,diversity_iterative,92,1,cycles,11,15116.0,72.72727272727273
MIT,diversity_iterative,92,2,cycles,15,7575.0,32.323232323232325
MIT,diversity_iterative,92,3,cycles,14,7802.5,40.4040404040404
MIT,diversity_iterative,92,4,cycles,14,11821.5,52.52525252525252
MIT,diversity_iterative,92,5,cycles,14,8836.5,40.4040404040404
MIT,diversity_iterative,92,6,cycles,14,16690.0,80.8080808080808
MIT,diversity_iterative,92,7,cycles,15,5868.0,32.323232323232325
MIT,diversity_iterative,92,8,cycles,14,8161.5,40.4040404040404
MIT,diversity_iterative,92,9,cycles,14,7372.0,36.36363636363636
MIT,diversity_iterative,92,10,cycles,15,6099.0,40.4040404040404
MIT,diversity_iterative,95,1,cycles,11,15247.0,72.72727272727273
MIT,diversity_iterative,95,2,cycles,15,7575.0,32.323232323232325
MIT,diversity_iterative,95,3,cycles,14,9334.5,52.52525252525252
MIT,diversity_iterative,95,4,cycles,14,11821.5,52.52525252525252
MIT,diversity_iterative,95,5,cycles,14,8836.5,40.4040404040404
MIT,diversity_iterative,95,6,cycles,14,16690.0,80.8080808080808
MIT,diversity_iterative,95,7,cycles,15,7668.0,32.323232323232325
MIT,diversity_iterative,95,8,cycles,14,8161.5,40.4040404040404
MIT,diversity_iterative,95,9,cycles,14,8225.5,40.4040404040404
MIT,diversity_iterative,95,10,cycles,15,9733.0,40.4040404040404
MIT,diversity_iterative,98,1,cycles,11,17187.0,80.8080808080808
MIT,diversity_iterative,98,2,cycles,15,9007.0,40.4040404040404
MIT,diversity_iterative,98,3,cycles,14,9828.0,56.56565656565656
MIT,diversity_iterative,98,4,cycles,14,13809.0,64.64646464646464
MIT,diversity_iterative,98,5,cycles,14,9093.0,40.4040404040404
MIT,diversity_iterative,98,6,cycles,14,17214.5,84.84848484848484
MIT,diversity_iterative,98,7,cycles,15,9170.0,40.4040404040404
MIT,diversity_iterative,98,8,cycles,14,8161.5,40.4040404040404
MIT,diversity_iterative,98,9,cycles,14,9734.5,48.48484848484848
MIT,diversity_iterative,98,10,cycles,15,13808.0,64.64646464646465
MIT,coverage,92,1,cycles,11,6604.0,40.4040404040404
MIT,coverage,92,2,cycles,15,4641.0,24.24242424242424
MIT,coverage,92,3,cycles,14,6253.0,32.323232323232325
MIT,coverage,92,4,cycles,14,7722.5,40.4040404040404
MIT,coverage,92,5,cycles,14,5897.0,32.323232323232325
MIT,coverage,92,6,cycles,14,10954.5,56.56565656565656
MIT,coverage,92,7,cycles,15,4005.0,24.24242424242424
MIT,coverage,92,8,cycles,14,8803.5,52.52525252525252
MIT,coverage,92,9,cycles,14,8375.0,44.44444444444444
MIT,coverage,92,10,cycles,15,5244.0,32.323232323232325
MIT,coverage,95,1,cycles,11,6604.0,40.4040404040404
MIT,coverage,95,2,cycles,15,6142.0,40.4040404040404
MIT,coverage,95,3,cycles,14,6713.5,36.36363636363636
MIT,coverage,95,4,cycles,14,8540.5,48.48484848484848
MIT,coverage,95,5,cycles,14,7456.5,36.36363636363636
MIT,coverage,95,6,cycles,14,10954.5,56.56565656565656
MIT,coverage,95,7,cycles,15,5641.0,32.323232323232325
MIT,coverage,95,8,cycles,14,8803.5,52.52525252525252
MIT,coverage,95,9,cycles,14,9158.0,48.48484848484848
MIT,coverage,95,10,cycles,15,6671.0,40.4040404040404
MIT,coverage,98,1,cycles,11,6604.0,40.4040404040404
MIT,coverage,98,2,cycles,15,6142.0,40.4040404040404
MIT,coverage,98,3,cycles,14,7219.5,44.44444444444444
MIT,coverage,98,4,cycles,14,8540.5,48.48484848484848
MIT,coverage,98,5,cycles,14,7504.5,40.4040404040404
MIT,coverage,98,6,cycles,14,11177.0,56.56565656565656
MIT,coverage,98,7,cycles,15,8797.0,56.56565656565656
MIT,coverage,98,8,cycles,14,9986.0,56.56565656565656
MIT,coverage,98,9,cycles,14,9791.5,52.52525252525252
MIT,coverage,98,10,cycles,15,8555.0,48.48484848484848
MIT,exploration,92,1,cycles,11,5989.0,32.323232323232325
MIT,exploration,92,2,cycles,15,8634.0,40.4040404040404
MIT,exploration,92,3,cycles,14,7033.0,40.4040404040404
MIT,exploration,92,4,cycles,14,5772.5,32.323232323232325
MIT,exploration,92,5,cycles,14,11402.5,64.64646464646465
MIT,exploration,92,6,cycles,14,4667.0,24.24242424242424
MIT,exploration,92,7,cycles,15,4855.0,24.24242424242424
MIT,exploration,92,8,cycles,14,4117.5,24.24242424242424
MIT,exploration,92,9,cycles,14,7274.5,48.48484848484848
MIT,exploration,92,10,cycles,15,7392.0,40.4040404040404
MIT,exploration,95,1,cycles,11,5989.0,32.323232323232325
MIT,exploration,95,2,cycles,15,8822.0,56.56565656565656
MIT,exploration,95,3,cycles,14,7033.0,40.4040404040404
MIT,exploration,95,4,cycles,14,5772.5,32.323232323232325
MIT,exploration,95,5,cycles,14,12520.0,68.68686868686869
MIT,exploration,95,6,cycles,14,4667.0,24.24242424242424
MIT,exploration,95,7,cycles,15,5024.0,24.24242424242424
MIT,exploration,95,8,cycles,14,4117.5,24.24242424242424
MIT,exploration,95,9,cycles,14,8015.5,48.48484848484848
MIT,exploration,95,10,cycles,15,9574.0,56.56565656565656
MIT,exploration,98,1,cycles,11,5989.0,32.323232323232325
MIT,exploration,98,2,cycles,15,12149.0,72.72727272727273
MIT,exploration,98,3,cycles,14,7033.0,40.4040404040404
MIT,exploration,98,4,cycles,14,6693.5,36.36363636363636
MIT,exploration,98,5,cycles,14,15588.5,92.92929292929291
MIT,exploration,98,6,cycles,14,7818.5,44.44444444444444
MIT,exploration,98,7,cycles,15,5187.0,24.24242424242424
MIT,exploration,98,8,cycles,14,4935.5,28.282828282828284
MIT,exploration,98,9,cycles,14,8250.0,48.48484848484848
MIT,exploration,98,10,cycles,15,12320.0,72.72727272727273
MIT,exploitation,92,1,cycles,11,8606.0,48.48484848484848
MIT,exploitation,92,2,cycles,15,8392.0,40.4040404040404
MIT,exploitation,92,3,cycles,14,7067.0,40.4040404040404
MIT,exploitation,92,4,cycles,14,10187.5,60.60606060606061
MIT,exploitation,92,5,cycles,14,13393.0,76.76767676767676
MIT,exploitation,92,6,cycles,14,10493.5,56.56565656565656
MIT,exploitation,92,7,cycles,15,5058.0,24.24242424242424
MIT,exploitation,92,8,cycles,14,10516.5,64.64646464646465
MIT,exploitation,92,9,cycles,14,7905.0,40.4040404040404
MIT,exploitation,92,10,cycles,15,10719.0,56.56565656565656
MIT,exploitation,95,1,cycles,11,8676.0,48.48484848484848
MIT,exploitation,95,2,cycles,15,8392.0,40.4040404040404
MIT,exploitation,95,3,cycles,14,7067.0,40.4040404040404
MIT,exploitation,95,4,cycles,14,10712.0,64.64646464646465
MIT,exploitation,95,5,cycles,14,14209.5,76.76767676767676
MIT,exploitation,95,6,cycles,14,10493.5,56.56565656565656
MIT,exploitation,95,7,cycles,15,5058.0,24.24242424242424
MIT,exploitation,95,8,cycles,14,10516.5,64.64646464646465
MIT,exploitation,95,9,cycles,14,7905.0,40.4040404040404
MIT,exploitation,95,10,cycles,15,13575.0,72.72727272727273
MIT,exploitation,98,1,cycles,11,8676.0,48.48484848484848
MIT,exploitation,98,2,cycles,15,8412.0,48.48484848484848
MIT,exploitation,98,3,cycles,14,9141.5,52.52525252525252
MIT,exploitation,98,4,cycles,14,10712.0,64.64646464646465
MIT,exploitation,98,5,cycles,14,14209.5,76.76767676767676
MIT,exploitation,98,6,cycles,14,11006.5,60.60606060606061
MIT,exploitation,98,7,cycles,15,5405.0,24.24242424242424
MIT,exploitation,98,8,cycles,14,10880.5,64.64646464646465
MIT,exploitation,98,9,cycles,14,8876.0,48.48484848484848
MIT,exploitation,98,10,cycles,15,14810.0,88.88888888888889
MIT,hybrid,92,1,cycles,11,6369.0,32.323232323232325
MIT,hybrid,92,2,cycles,15,5322.0,32.323232323232325
MIT,hybrid,92,3,cycles,14,3845.0,24.24242424242424
MIT,hybrid,92,4,cycles,14,5749.0,32.323232323232325
MIT,hybrid,92,5,cycles,14,4423.5,28.282828282828284
MIT,hybrid,92,6,cycles,14,9571.5,48.48484848484848
MIT,hybrid,92,7,cycles,15,4871.0,24.24242424242424
MIT,hybrid,92,8,cycles,14,4795.0,28.282828282828284
MIT,hybrid,92,9,cycles,14,7782.0,40.4040404040404
MIT,hybrid,92,10,cycles,15,5539.0,32.323232323232325
MIT,hybrid,95,1,cycles,11,6594.0,32.323232323232325
MIT,hybrid,95,2,cycles,15,5322.0,32.323232323232325
MIT,hybrid,95,3,cycles,14,3845.0,24.24242424242424
MIT,hybrid,95,4,cycles,14,6763.0,36.36363636363636
MIT,hybrid,95,5,cycles,14,4423.5,28.282828282828284
MIT,hybrid,95,6,cycles,14,9571.5,48.48484848484848
MIT,hybrid,95,7,cycles,15,4920.0,24.24242424242424
MIT,hybrid,95,8,cycles,14,9893.0,56.56565656565656
MIT,hybrid,95,9,cycles,14,8438.5,44.44444444444444
MIT,hybrid,95,10,cycles,15,5824.0,32.323232323232325
MIT,hybrid,98,1,cycles,11,7095.0,32.323232323232325
MIT,hybrid,98,2,cycles,15,5884.0,32.323232323232325
MIT,hybrid,98,3,cycles,14,4497.0,24.24242424242424
MIT,hybrid,98,4,cycles,14,7019.0,40.4040404040404
MIT,hybrid,98,5,cycles,14,8155.5,44.44444444444444
MIT,hybrid,98,6,cycles,14,9987.5,52.52525252525252
MIT,hybrid,98,7,cycles,15,8423.0,56.56565656565656
MIT,hybrid,98,8,cycles,14,10054.0,56.56565656565656
MIT,hybrid,98,9,cycles,14,8838.5,48.48484848484848
MIT,hybrid,98,10,cycles,15,8732.0,48.48484848484848
ISU_ILCC,random_selection,92,1,weeks,14,346.65636243386245,66.32124352331607
ISU_ILCC,random_selection,92,2,weeks,13,275.10171089616404,58.03108808290155
ISU_ILCC,random_selection,92,3,weeks,15,211.86768311838625,33.160621761658035
ISU_ILCC,random_selection,92,4,weeks,15,321.46128265542325,58.03108808290155
ISU_ILCC,random_selection,92,5,weeks,15,329.31304894179897,66.32124352331607
ISU_ILCC,random_selection,92,6,weeks,13,270.0903224206349,58.03108808290155
ISU_ILCC,random_selection,92,7,weeks,12,117.09382688492065,20.725388601036272
ISU_ILCC,random_selection,92,8,weeks,15,231.21775876322755,41.45077720207254
ISU_ILCC,random_selection,92,9,weeks,11,155.89173900462964,33.160621761658035
ISU_ILCC,random_selection,92,10,weeks,13,108.27945105820106,24.870466321243523
ISU_ILCC,random_selection,95,1,weeks,14,385.84174024470906,74.61139896373058
ISU_ILCC,random_selection,95,2,weeks,13,275.10171089616404,58.03108808290155
ISU_ILCC,random_selection,95,3,weeks,15,211.86768311838625,33.160621761658035
ISU_ILCC,random_selection,95,4,weeks,15,350.0880882109788,66.32124352331607
ISU_ILCC,random_selection,95,5,weeks,15,398.2699830522487,74.61139896373057
ISU_ILCC,random_selection,95,6,weeks,13,314.8645271164021,66.32124352331607
ISU_ILCC,random_selection,95,7,weeks,12,117.09382688492065,20.725388601036272
ISU_ILCC,random_selection,95,8,weeks,15,269.3470825066138,49.740932642487046
ISU_ILCC,random_selection,95,9,weeks,11,351.5503228339948,66.32124352331607
ISU_ILCC,random_selection,95,10,weeks,13,108.27945105820106,24.870466321243523
ISU_ILCC,random_selection,98,1,weeks,14,513.0126471560847,99.48186528497408
ISU_ILCC,random_selection,98,2,weeks,13,275.10171089616404,58.03108808290155
ISU_ILCC,random_selection,98,3,weeks,15,211.86768311838625,33.160621761658035
ISU_ILCC,random_selection,98,4,weeks,15,350.0880882109788,66.32124352331607
ISU_ILCC,random_selection,98,5,weeks,15,436.4271159887567,82.90155440414507
ISU_ILCC,random_selection,98,6,weeks,13,314.8645271164021,66.32124352331607
ISU_ILCC,random_selection,98,7,weeks,12,141.285966848545,24.870466321243526
ISU_ILCC,random_selection,98,8,weeks,15,269.3470825066138,49.740932642487046
ISU_ILCC,random_selection,98,9,weeks,11,351.5503228339948,66.32124352331607
ISU_ILCC,random_selection,98,10,weeks,13,108.27945105820106,24.870466321243523
ISU_ILCC,diversity_oneshot,92,1,weeks,14,289.81818700396826,58.03108808290156
ISU_ILCC,diversity_oneshot,92,2,weeks,13,254.89606688161376,49.740932642487046
ISU_ILCC,diversity_oneshot,92,3,weeks,15,116.21007357804235,24.870466321243523
ISU_ILCC,diversity_oneshot,92,4,weeks,15,136.33459408068782,24.870466321243523
ISU_ILCC,diversity_oneshot,92,5,weeks,15,259.21788318452377,41.45077720207254
ISU_ILCC,diversity_oneshot,92,6,weeks,13,186.43671461640207,33.160621761658035
ISU_ILCC,diversity_oneshot,92,7,weeks,12,267.19781208664017,49.740932642487046
ISU_ILCC,diversity_oneshot,92,8,weeks,15,61.08568287037036,8.290155440414509
ISU_ILCC,diversity_oneshot,92,9,weeks,11,97.6294188161376,16.580310880829018
ISU_ILCC,diversity_oneshot,92,10,weeks,13,132.67653852513226,24.870466321243523
ISU_ILCC,diversity_oneshot,95,1,weeks,14,285.0133736359127,58.03108808290156
ISU_ILCC,diversity_oneshot,95,2,weeks,13,254.89606688161376,49.740932642487046
ISU_ILCC,diversity_oneshot,95,3,weeks,15,188.7483482142857,33.160621761658035
ISU_ILCC,diversity_oneshot,95,4,weeks,15,136.33459408068782,24.870466321243523
ISU_ILCC,diversity_oneshot,95,5,weeks,15,335.72578827711635,58.03108808290155
ISU_ILCC,diversity_oneshot,95,6,weeks,13,226.85871031746035,41.45077720207254
ISU_ILCC,diversity_oneshot,95,7,weeks,12,267.19781208664017,49.740932642487046
ISU_ILCC,diversity_oneshot,95,8,weeks,15,61.08568287037036,8.290155440414509
ISU_ILCC,diversity_oneshot,95,9,weeks,11,97.6294188161376,16.580310880829018
ISU_ILCC,diversity_oneshot,95,10,weeks,13,132.67653852513226,24.870466321243523
ISU_ILCC,diversity_oneshot,98,1,weeks,14,287.07988405257936,58.03108808290156
ISU_ILCC,diversity_oneshot,98,2,weeks,13,254.89606688161376,49.740932642487046
ISU_ILCC,diversity_oneshot,98,3,weeks,15,283.3333841765873,49.740932642487046
ISU_ILCC,diversity_oneshot,98,4,weeks,15,136.33459408068782,24.870466321243523
ISU_ILCC,diversity_oneshot,98,5,weeks,15,349.00791708002646,58.03108808290155
ISU_ILCC,diversity_oneshot,98,6,weeks,13,226.85871031746035,41.45077720207254
ISU_ILCC,diversity_oneshot,98,7,weeks,12,267.19781208664017,49.740932642487046
ISU_ILCC,diversity_oneshot,98,8,weeks,15,80.6054803240741,16.580310880829018
ISU_ILCC,diversity_oneshot,98,9,weeks,11,97.6294188161376,16.580310880829018
ISU_ILCC,diversity_oneshot,98,10,weeks,13,132.67653852513226,24.870466321243523
ISU_ILCC,diversity_iterative,92,1,weeks,14,456.1947354497354,91.19170984455958
ISU_ILCC,diversity_iterative,92,2,weeks,13,218.14844328703705,41.45077720207254
ISU_ILCC,diversity_iterative,92,3,weeks,15,269.9916278108466,49.740932642487046
ISU_ILCC,diversity_iterative,92,4,weeks,15,208.6028368882275,33.160621761658035
ISU_ILCC,diversity_iterative,92,5,weeks,15,333.4761235119047,58.03108808290155
ISU_ILCC,diversity_iterative,92,6,weeks,13,92.76211805555556,16.580310880829018
ISU_ILCC,diversity_iterative,92,7,weeks,12,433.0716739004629,78.75647668393782
ISU_ILCC,diversity_iterative,92,8,weeks,15,61.08568287037036,8.290155440414509
ISU_ILCC,diversity_iterative,92,9,weeks,11,224.97852141203705,41.45077720207254
ISU_ILCC,diversity_iterative,92,10,weeks,13,330.89884672619047,66.32124352331607
ISU_ILCC,diversity_iterative,95,1,weeks,14,466.3071775793651,91.19170984455958
ISU_ILCC,diversity_iterative,95,2,weeks,13,396.2170874669312,74.61139896373057
ISU_ILCC,diversity_iterative,95,3,weeks,15,326.2412582671958,58.03108808290155
ISU_ILCC,diversity_iterative,95,4,weeks,15,212.05714740410053,33.160621761658035
ISU_ILCC,diversity_iterative,95,5,weeks,15,336.9610367063492,58.03108808290155
ISU_ILCC,diversity_iterative,95,6,weeks,13,92.76211805555556,16.580310880829018
ISU_ILCC,diversity_iterative,95,7,weeks,12,433.0716739004629,78.75647668393782
ISU_ILCC,diversity_iterative,95,8,weeks,15,61.08568287037036,8.290155440414509
ISU_ILCC,diversity_iterative,95,9,weeks,11,224.97852141203705,41.45077720207254
ISU_ILCC,diversity_iterative,95,10,weeks,13,412.3978050595238,82.90155440414507
ISU_ILCC,diversity_iterative,98,1,weeks,14,491.371363260582,99.48186528497408
ISU_ILCC,diversity_iterative,98,2,weeks,13,432.6241075562169,82.90155440414507
ISU_ILCC,diversity_iterative,98,3,weeks,15,326.7958407738096,58.03108808290155
ISU_ILCC,diversity_iterative,98,4,weeks,15,212.05714740410053,33.160621761658035
ISU_ILCC,diversity_iterative,98,5,weeks,15,491.5610226521164,91.19170984455958
ISU_ILCC,diversity_iterative,98,6,weeks,13,92.76211805555556,16.580310880829018
ISU_ILCC,diversity_iterative,98,7,weeks,12,482.671374834656,91.19170984455955
ISU_ILCC,diversity_iterative,98,8,weeks,15,90.47009093915348,16.580310880829018
ISU_ILCC,diversity_iterative,98,9,weeks,11,224.97852141203705,41.45077720207254
ISU_ILCC,diversity_iterative,98,10,weeks,13,412.3978050595238,82.90155440414507
ISU_ILCC,coverage,92,1,weeks,14,237.8273408564816,49.740932642487046
ISU_ILCC,coverage,92,2,weeks,13,222.43362144510584,41.45077720207254
ISU_ILCC,coverage,92,3,weeks,15,232.3188024966931,41.45077720207254
ISU_ILCC,coverage,92,4,weeks,15,237.77318245701056,41.45077720207254
ISU_ILCC,coverage,92,5,weeks,15,167.15876322751325,33.160621761658035
ISU_ILCC,coverage,92,6,weeks,13,185.3978158068783,33.160621761658035
ISU_ILCC,coverage,92,7,weeks,12,415.52584780092593,82.90155440414507
ISU_ILCC,coverage,92,8,weeks,15,171.6949772652116,33.160621761658035
ISU_ILCC,coverage,92,9,weeks,11,121.13969370039682,24.870466321243523
ISU_ILCC,coverage,92,10,weeks,13,187.46353215939152,33.160621761658035
ISU_ILCC,coverage,95,1,weeks,14,269.6321354166667,53.88601036269429
ISU_ILCC,coverage,95,2,weeks,13,246.5842580191799,49.740932642487046
ISU_ILCC,coverage,95,3,weeks,15,232.3188024966931,41.45077720207254
ISU_ILCC,coverage,95,4,weeks,15,237.77318245701056,41.45077720207254
ISU_ILCC,coverage,95,5,weeks,15,184.62994874338625,41.45077720207254
ISU_ILCC,coverage,95,6,weeks,13,185.3978158068783,33.160621761658035
ISU_ILCC,coverage,95,7,weeks,12,438.8701605902778,82.90155440414507
ISU_ILCC,coverage,95,8,weeks,15,182.693927744709,41.45077720207254
ISU_ILCC,coverage,95,9,weeks,11,121.13969370039682,24.870466321243523
ISU_ILCC,coverage,95,10,weeks,13,219.45788318452372,41.45077720207254
ISU_ILCC,coverage,98,1,weeks,14,269.6321354166667,53.88601036269429
ISU_ILCC,coverage,98,2,weeks,13,274.9571829530423,58.03108808290155
ISU_ILCC,coverage,98,3,weeks,15,253.70563533399468,41.45077720207254
ISU_ILCC,coverage,98,4,weeks,15,237.77318245701056,41.45077720207254
ISU_ILCC,coverage,98,5,weeks,15,184.62994874338625,41.45077720207254
ISU_ILCC,coverage,98,6,weeks,13,185.3978158068783,33.160621761658035
ISU_ILCC,coverage,98,7,weeks,12,438.8701605902778,82.90155440414507
ISU_ILCC,coverage,98,8,weeks,15,342.1468113425926,66.32124352331607
ISU_ILCC,coverage,98,9,weeks,11,121.13969370039682,24.870466321243523
ISU_ILCC,coverage,98,10,weeks,13,267.8562189980159,49.740932642487046
ISU_ILCC,exploration,92,1,weeks,14,168.77649718915345,41.45077720207254
ISU_ILCC,exploration,92,2,weeks,13,218.4563140707672,41.45077720207254
